Region name,Site code,Site name,Population
East Midlands,UKENAN_AW_TP000004,Anwick,"5,866"
East Midlands,UKENAN_AW_TP000023,Boston,"38,150"
East Midlands,UKENAN_AW_TP000026,Bourne,"21,752"
East Midlands,UKENAN_AW_TP000028,Brackley  ,"14,040"
East Midlands,UKENAN_AW_TP000037,Wellingborough  ,"208,434"
East Midlands,UKENAN_AW_TP000067,Corby,"63,837"
East Midlands,UKENAN_AW_TP000106,Grantham  ,"50,020"
East Midlands,UKENAN_AW_TP000107,Northampton  ,"254,583"
East Midlands,UKENAN_AW_TP000143,Ingoldmells,"30,245"
East Midlands,UKENAN_AW_TP000161,Lincoln,"104,925"
East Midlands,UKENAN_AW_TP000169,Louth,"19,502"
East Midlands,UKENAN_AW_TP000172,Mablethorpe,"12,738"
East Midlands,UKENAN_AW_TP000177,Market Harborough,"26,370"
East Midlands,UKENAN_AW_TP000201,Oakham,"13,034"
East Midlands,UKENAN_AW_TP000242,Spalding,"36,559"
East Midlands,UKENAN_AW_TP000248,Stamford,"21,389"
East Midlands,UKENAN_AW_TP000286,Daventry  ,"27,437"
East Midlands,UKENMI_ST_TP000003,Alfreton,"18,131"
East Midlands,UKENMI_ST_TP000074,Derby,"289,963"
East Midlands,UKENMI_ST_TP000098,Gainsborough,"23,157"
East Midlands,UKENMI_ST_TP000109,Hinckley,"46,737"
East Midlands,UKENMI_ST_TP000116,Ilkeston,"48,785"
East Midlands,UKENMI_ST_TP000137,Loughborough,"70,451"
East Midlands,UKENMI_ST_TP000143,Mansfield,"87,512"
East Midlands,UKENMI_ST_TP000152,Melton Mowbray,"33,271"
East Midlands,UKENMI_ST_TP000160,Eastwood,"44,528"
East Midlands,UKENMI_ST_TP000163,Nottingham,"545,570"
East Midlands,UKENMI_ST_TP000178,Retford,"25,450"
East Midlands,UKENMI_ST_TP000197,Coalville,"42,027"
East Midlands,UKENMI_ST_TP000216,Long Eaton,"64,736"
East Midlands,UKENMI_ST_TP000222,Leicester,"534,813"
East Midlands,UKENMI_ST_TP000231,Blaby,"23,997"
East Midlands,UKENMI_ST_TP000233,Wigston,"25,516"
East Midlands,UKENMI_ST_TP000242,Worksop,"45,708"
East Midlands,UKENNE_YW_TP000112,Chesterfield  ,"99,910"
East Midlands,UKENNW_UU_TP000129,Whaley Bridge,"23,020"
East of England,UKENAN_AW_TP000015,Beccles,"10,882"
East of England,UKENAN_AW_TP000016,Bedford,"151,259"
East of England,UKENAN_AW_TP000029,Braintree,"31,080"
East of England,UKENAN_AW_TP000047,Bury St. Edmunds,"44,043"
East of England,UKENAN_AW_TP000050,Cambridge,"161,208"
East of England,UKENAN_AW_TP000051,Chalton,"112,126"
East of England,UKENAN_AW_TP000052,Ipswich (Chantry),"19,284"
East of England,UKENAN_AW_TP000055,Chelmsford,"137,741"
East of England,UKENAN_AW_TP000056,Clacton-on-Sea and Holland-on-Sea,"43,138"
East of England,UKENAN_AW_TP000060,Shefford,"14,744"
East of England,UKENAN_AW_TP000063,Colchester,"147,803"
East of England,UKENAN_AW_TP000071,Cromer,"20,615"
East of England,UKENAN_AW_TP000077,Breckland,"23,576"
East of England,UKENAN_AW_TP000078,Diss,"13,079"
East of England,UKENAN_AW_TP000082,Downham Market,"12,565"
East of England,UKENAN_AW_TP000084,Dunstable,"53,805"
East of England,UKENAN_AW_TP000096,Felixstowe,"29,960"
East of England,UKENAN_AW_TP000115,Great Yarmouth,"94,856"
East of England,UKENAN_AW_TP000127,Haverhill,"28,284"
East of England,UKENAN_AW_TP000128,Hunstanton,"13,737"
East of England,UKENAN_AW_TP000139,Huntingdon,"41,673"
East of England,UKENAN_AW_TP000144,Ipswich,"155,056"
East of England,UKENAN_AW_TP000148,Jaywick,"21,337"
East of England,UKENAN_AW_TP000154,Kings Lynn,"57,329"
East of England,UKENAN_AW_TP000160,Letchworth,"48,551"
East of England,UKENAN_AW_TP000170,Lowestoft,"75,023"
East of England,UKENAN_AW_TP000176,March,"22,273"
East of England,UKENAN_AW_TP000191,Needham Market,"6,988"
East of England,UKENAN_AW_TP000194,Newmarket,"23,957"
East of England,UKENAN_AW_TP000200,Norwich,"265,186"
East of England,UKENAN_AW_TP000210,Peterborough,"207,747"
East of England,UKENAN_AW_TP000219,Reepham,"4,497"
East of England,UKENAN_AW_TP000221,Rochford,"43,635"
East of England,UKENAN_AW_TP000222,Royston,"16,853"
East of England,UKENAN_AW_TP000224,Saffron Walden,"17,178"
East of England,UKENAN_AW_TP000237,Soham,"15,439"
East of England,UKENAN_AW_TP000247,Stalham,"7,160"
East of England,UKENAN_AW_TP000253,Stowmarket,"24,868"
East of England,UKENAN_AW_TP000254,Sudbury,"14,539"
East of England,UKENAN_AW_TP000261,Thetford,"27,403"
East of England,UKENAN_AW_TP000280,Wells-next-the-Sea,"2,204"
East of England,UKENAN_AW_TP000289,Wickford,"41,472"
East of England,UKENAN_AW_TP000293,Wisbech,"52,411"
East of England,UKENAN_AW_TP000296,Witham,"35,412"
East of England,UKENAN_AW_TP000303,Basildon,"102,680"
East of England,UKENAN_AW_TP000305,Canvey Island,"38,726"
East of England,UKENAN_AW_TP000306,Basildon (Vange),"20,143"
East of England,UKENAN_AW_TP000307,Southend-on-Sea,"205,020"
East of England,UKENAN_AW_TP000308,Tilbury,"172,752"
East of England,UKENTH_TWU_TP000021,Radlett,"596,582"
East of England,UKENTH_TWU_TP000103,Luton,"77,593"
East of England,UKENTH_TWU_TP000106,St Albans,"596,582"
East of England,UKENTH_TWU_TP000126,Harlow,"365,806"
London,UKENTH_TWU_TP000014,London (Beckton),"3,031,194"
London,UKENTH_TWU_TP000015,London (Beddington),"411,084"
London,UKENTH_TWU_TP000052,London (Crossness),"1,826,532"
London,UKENTH_TWU_TP000054,London (Deepham),"864,311"
London,UKENTH_TWU_TP000084,London (Hogsmill Valley),"392,219"
London,UKENTH_TWU_TP000102,London (Long Reach),"810,350"
London,UKENTH_TWU_TP000113,London (Mogden),"1,757,742"
London,UKENTH_TWU_TP000125,London (Riverside),"364,674"
North East,UKENNE_NU_TP000003,Newton Aycliffe,"39,255"
North East,UKENNE_NU_TP000004,Durham (Barkers Haugh),"38,507"
North East,UKENNE_NU_TP000007,Durham (Belmont),"9,051"
North East,UKENNE_NU_TP000009,Billingham,"29,645"
North East,UKENNE_NU_TP000010,Blyth,"38,837"
North East,UKENNE_NU_TP000012,Middlesbrough  ,"129,973"
North East,UKENNE_NU_TP000019,Consett,"30,495"
North East,UKENNE_NU_TP000020,Cramlington,"20,856"
North East,UKENNE_NU_TP000028,Sunderland,"187,749"
North East,UKENNE_NU_TP000030,Horden,"56,412"
North East,UKENNE_NU_TP000031,Newcastle,"673,511"
North East,UKENNE_NU_TP000039,MARSKE REDCAR,"84,515"
North East,UKENNE_NU_TP000044,Seaham,"35,988"
North East,UKENNE_NU_TP000046,Hartlepool  ,"92,120"
North East,UKENNE_NU_TP000048,Houghton-le-Spring,"50,303"
North East,UKENNE_NU_TP000051,Darlington  ,"97,540"
North East,UKENNE_NU_TP000054,Bishop Auckland  ,"34,578"
North East,UKENNE_NU_TP000055,Washington,"58,579"
North West,UKENNW_UU_TP000011,Barnoldswick,"10,434"
North West,UKENNW_UU_TP000012,Barrow-in-Furness,"63,158"
North West,UKENNW_UU_TP000017,Birkenhead,"172,922"
North West,UKENNW_UU_TP000018,Blackburn,"125,653"
North West,UKENNW_UU_TP000019,Bolton,"320,905"
North West,UKENNW_UU_TP000023,Bromborough,"79,166"
North West,UKENNW_UU_TP000024,Burnley,"108,436"
North West,UKENNW_UU_TP000026,Bury,"151,769"
North West,UKENNW_UU_TP000027,Carlisle,"80,927"
North West,UKENNW_UU_TP000032,Chorley,"57,527"
North West,UKENNW_UU_TP000034,Clitheroe,"18,608"
North West,UKENNW_UU_TP000037,Congleton,"26,524"
North West,UKENNW_UU_TP000038,Crewe,"90,139"
North West,UKENNW_UU_TP000047,Ellesmere Port,"65,326"
North West,UKENNW_UU_TP000050,Fleetwood,"227,168"
North West,UKENNW_UU_TP000062,Maghull,"55,691"
North West,UKENNW_UU_TP000066,Huyton and Prescot,"63,790"
North West,UKENNW_UU_TP000067,Hyde,"77,438"
North West,UKENNW_UU_TP000068,Hyndburn,"111,339"
North West,UKENNW_UU_TP000070,Kendal,"31,777"
North West,UKENNW_UU_TP000076,Lancaster,"78,193"
North West,UKENNW_UU_TP000078,Leigh,"73,352"
North West,UKENNW_UU_TP000084,Macclesfield,"67,058"
North West,UKENNW_UU_TP000095,Wirral,"65,669"
North West,UKENNW_UU_TP000097,Northwich,"62,092"
North West,UKENNW_UU_TP000100,Penrith,"18,009"
North West,UKENNW_UU_TP000102,Preston,"236,562"
North West,UKENNW_UU_TP000103,Rochdale,"156,830"
North West,UKENNW_UU_TP000104,Rossendale,"58,846"
North West,UKENNW_UU_TP000110,Liverpool (Sandon),"493,125"
North West,UKENNW_UU_TP000113,Skelmersdale,"38,189"
North West,UKENNW_UU_TP000115,St Helens,"127,277"
North West,UKENNW_UU_TP000116,Stockport,"157,180"
North West,UKENNW_UU_TP000123,Walton-Le-Dale,"50,512"
North West,UKENNW_UU_TP000124,Warrington,"221,811"
North West,UKENNW_UU_TP000133,Wigan,"202,579"
North West,UKENNW_UU_TP000139,Workington,"42,350"
