identifier,pop_IMD_1,pop_IMD_2,pop_IMD_3,pop_IMD_4,pop_IMD_5,pop_IMD_6,pop_IMD_7,pop_IMD_8,pop_IMD_9,pop_IMD_10,total_estimate_pop
000deaad90,0,0,0,0,0,126.5588999,1294.539283,0,168.2679291,0,1589.366112
002b4939d1,0,0,0,0,0,359.6310134,2.355888511,579.5861346,0,0,941.5730366
002d3b2ccf,0,0,0,0,0,0,0,0,0,453.5381395,453.5381395
00310b4c3b,0,0,0,0,0,0,0,571.7030694,0,0,571.7030694
0040dfa94f,1803,2838.868767,4729.777128,6350.133096,1501.313522,2346.951323,298.9357145,0,0,0,19868.97955
0046c41806,0,0,0,0,0,20.37017905,0,0,0,0,20.37017905
0058146bd7,0,0,0,0,0,9.840009519,0,0,0,0,9.840009519
005820cfa8,0,0,0,0,102.0125337,0,0,0,0,0,102.0125337
0058e0db3a,0,0,0,0,0,0,356.8170713,0,0,0,356.8170713
008db35c54,0,0,0,0,0,0,16.05062483,0,1708.266394,1028.48779,2752.804809
93096061,0,0,0,0,0,333.8858624,1199.367897,0,0,3503.939439,5037.193198
00a2466af0,0,0,0,0,192.0603221,0,0,1573.995133,0,0,1766.055455
00ade7f3d6,0,0,0,0,0,0,880.1615784,0,0,0,880.1615784
00c5189085,0,0,0,0,67.93966206,0,0,0,0,0,67.93966206
00c8456eda,0,2929.067503,3020,0,1886,0.024867204,810.3653667,0,0,0,8645.457737
00e1c4c53b,18172.66583,13091.30567,9093.396966,17097.97077,6074.135613,4488.017329,4821.354042,7633.678556,6527.542168,6326.420049,93326.487
00faed7f16,0,0,1539,0,3328,457.9682961,4156,0,1618,0,11098.9683
00fb83c6df,0,0,0,0,355.1460714,0,0,0,0,0,355.1460714
010b0c740c,0,0,0,0,2259.002428,877.2381477,1492.037305,3366.484719,953.7440864,0,8948.506686
010bce96cf,0,0,0,0,0,0,41.52167881,0,0,0,41.52167881
010e06135b,0,0,0,0,2751.438993,0,0,0,0,0,2751.438993
011a5d5d1b,0,0,0,467.6210895,0,0,0,0,0,0,467.6210895
012b194440,0,0,0,0,10.32835589,0,0,0,0,0,10.32835589
013ba6d492,0,0,0,1213.348956,92.42720176,0,0,0,0,0,1305.776158
0148b34d6d,0,0,0,0,0,0,169.4233767,0,0,0,169.4233767
01535444c6,0,0,0,0,0,0,0,3.202327766,0,0,3.202327766
015ab5cc16,0,0,0,0,1122.296311,3599.637968,1391.323405,1532,3763,0,11408.25768
0161a23915,0,0,0,0,0,20.15291171,0,0,0,0,20.15291171
0164cba8dc,0,0,0,0,0,1431,0,0,0,0,1431
016eeba607,0,0,0,0,0,903.7842532,0,0,0,0,903.7842532
01718bf84d,0,0,0,0,58.93155908,0,0,0,0,0,58.93155908
017588c739,0,0,2081,3677.724802,6552,0,0,0,0,0,12310.7248
0194e1e233,43087.44306,157723.3587,142030.3581,107845.2185,70962.04987,88312.08644,76318.32036,84710.52772,68880.60273,17106.88043,856976.8459
0197b03dfb,0,4750.419812,1205,7801.328151,2712.258781,11232.87851,5422.929071,4201.989439,6481.960407,0,43808.76417
01bf76d616,1623,8919.818471,18032,49074.67613,73604.26649,68907.30174,65487.68784,73228.36314,86438.38766,152616.2283,597931.7297
01c46e1b6f,0,0,0,0,0,18.57598452,0,0,0,0,18.57598452
01cbd77d9e,0,0,0,0,0,410.2684958,0,0,0,0,410.2684958
01d9f3ea85,72657.21454,23755.10936,26324.54221,16005.77307,20216.34259,16630.65764,16764.54427,11239.04182,5318.497419,10210.52697,219122.2499
01dc504567,0,0,0,186.3837469,0,0,0,0,0,0,186.3837469
01dd156adc,0,0,0,0,0,0,0,0,1938.088049,0,1938.088049
01e8d28795,0,0,0,0,0,0,0,38.4522786,0,0,38.4522786
01f3ee1ddc,0,0,0,0,0,0,282.1075377,0,0,0,282.1075377
01fc2167cc,0,0,0,0,0,131.7040324,0,0,0,0,131.7040324
020d9ea303,0,1551,1288,0,1445,7163,14914.56638,11938.47328,11125.77674,18284.14681,67709.96322
02197771be,1244,2025.060892,0,0,0,0,0,0,0,0,3269.060892
021bc47887,0,0,0,41.33955005,0,0,0,0,0,0,41.33955005
022af6d5f1,0,0,0,0,0,11.71247513,0,0,0,0,11.71247513
022b35dbf5,0,0,0,0,0,0,32.06085375,0,0,0,32.06085375
023a377f9e,0,0,0,0,0,0,0,0,350.3421549,0,350.3421549
024f66c24b,0,0,0,10.93341417,0,0,0,0,0,0,10.93341417
025031941c,0,0,0,0,54.16375543,0,0,0,0,0,54.16375543
025f4d54ba,0,0,0,0,0,48.59444729,0,0,0,0,48.59444729
02668fc4aa,0,0,0,0,1333.142572,0,0,0,0,0,1333.142572
0267399df4,0,0,0,0,0,821.1238159,0,0,0,0,821.1238159
027c31abaf,0,0,264.881307,0,0,0,0,0,0,0,264.881307
028c516845,0,0,0,0,10.20776641,0,0,0,1226.630977,0,1236.838743
0299f762f1,0,0,0,0,0,1092.507831,0,0,0,0,1092.507831
02a636a9aa,0,0,0,0,0,0,0,352.2473035,0,0,352.2473035
02b173dbd7,0,0,0,0,0,0,2562,0,0,0,2562
02ba3f88e2,0,0,0,0,0,0,295.0315154,0,0,0,295.0315154
02c3934872,0,0,0,88.04287975,0,289.8470954,0,0,0,0,377.8899751
02cf9ec7bf,0,0,0,0,89.3936874,0,0,0,0,0,89.3936874
