"rcaID","rptMStateKey","rcaState","rcaCode","rcaName","rcaType","rcaSensitiveArea","rcaDateArt58","rcaParameterN","rcaParameterP","rcaParameterOther","rcaDateDesignation","rcaANitro","rcaAPhos","rcaB","rcaC","rcaCRelevantDirective","rcaMorphology","rcaHydrologie","rcaHydraulic","rcaAbsenceRisk","rcaDateArt54","rcaArt54Applied"
1,"AT",106,"AT_RA_1","Austria",96,,13/12/2002,False,False,False,,False,False,False,False,"",False,False,False,False,31/12/2005,True
2,"BE",106,"BERI10022RW","La Région wallonne",101,,,False,False,False,08/02/2001,True,True,True,False,"",False,False,False,False,,False
3,"BE",106,"BERI10021RBC","Senne/Zenne",101,,,False,False,False,23/03/1994,True,True,False,False,"",False,False,False,False,,False
4,"BE",106,"BE-3","Flemish Region",101,,,False,False,False,01/06/1995,True,True,False,False,"",False,False,False,False,,False
5,"BG",106,"BGSARI01","Arda river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
6,"BG",106,"BGSARI02","Vit river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
7,"BG",106,"BGSARI03","Danube river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
8,"BG",106,"BGSARI04","Iskar river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
9,"BG",106,"BGSARI05","Kamtchia river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
10,"BG",106,"BGSARI06","Maritza river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
11,"BG",106,"BGSARI07","Ogosta river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
12,"BG",106,"BGSARI08","Osam river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
13,"BG",106,"BGSARI09","Provadijska i Devnenska river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
14,"BG",106,"BGSARI10","Rusenski Lom river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
15,"BG",106,"BGSARI11","Struma river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
16,"BG",106,"BGSARI12","Tundja river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
17,"BG",106,"BGSACL13","Black Sea coastal line",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
18,"BG",106,"BGSARI14","Yantra river",101,,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
19,"BG",106,"BGCSARI01","Catchement of Arda river",101,5,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
20,"BG",106,"BGCSARI02","Catchement of Vit river",101,6,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
21,"BG",106,"BGCSARI03","Catchement of Danube river",101,7,,False,False,False,28/07/2003,True,True,False,False,"",False,False,False,False,,False
