"rptMStateKey","repCode","repVersion","repSituationAt","repReportedPeriod"
"AT","AT_UWWTD_2009_1",,31/12/2008,"2008"
"BE","BE 01",,31/12/2008,"2008"
"BG","BG2",,31/12/2008,"2008"
"CY","CY 2009  Art.15",,31/12/2007,"2007"
"DK","DK1",,31/12/2007,"2007"
"EE","EE2009",,31/12/2007,"2007"
"FI","FI2007A",,31/12/2007,"2007"
"GR","GR_UWWTD_2009",,31/12/2007,"2007"
"HU","HU-91271CQ-2009",,31/12/2007,"2007"
"IE","IE2007",,31/12/2007,"2007"
"LT","LT",,31/12/2007,"2007"
"LU","LU1",,31/12/2008,"2008"
"LV","LV002",,31/12/2007,"2007"
"MT","MT",,31/12/2008,"2008"
"NL","NL1",,31/12/2007,"2007"
"PT","PT2",,31/12/2007,"2007"
"SE","SER3",,31/12/2008,"2008"
"SI","SI",,31/12/2007,"2007"
"IT","IT002",,31/12/2007,"2007"
"DE","DE_UWWT_2008_1",,31/12/2008,"2008"
"ES","ES002",,31/12/2008,"2008"
"FR","FR01",,31/12/2008,"2008"
"CZ","CZ-2008",,31/12/2008,"2008"
"PL","PL01",,31/12/2008,"2008"
"RO","RO02",,31/12/2007,"2007"
"UK","UK2",,31/12/2008,"2008"
"NO","NO_UWWTD_2007",,31/12/2007,"2007"
"SK","SK2",,31/12/2008,"2008"
