"rptID","rptMStateKey","rptMStateValue","rptCulture"
1,"AT","Austria","de-AT"
2,"BE","Belgium","nl_BE"
3,"DE","Germany","de-DE"
4,"EE","Estonia","et_EE"
5,"FI","Finland","fi_FI"
6,"FR","France","fr-FR"
7,"HU","Hungary","hu-HU"
8,"LV","Latvia","lv_LV"
9,"LT","Lithuania","lt_LT"
10,"LU","Luxembourg","fr_LU"
11,"NL","Netherlands","nl_NL"
12,"PT","Portugal","pt_PT"
13,"RO","Romania","ro-RO"
14,"SE","Sweden","sv_SE"
15,"SK","Slovakia","sk-SK"
16,"SI","Slovenia","sl_SI"
17,"CY","Cyprus","el_CY"
18,"DK","Denmark","da_DK"
19,"MT","Malta","en-GB"
20,"ES","Spain","es_ES"
21,"PL","Poland","pl-PL"
22,"BG","Bulgaria","bg_BG"
23,"UK","United Kingdom","en-GB"
24,"IT","Italy","it-IT"
25,"IE","Ireland","en_IE"
26,"CZ","Czech","cs_CZ"
27,"GR","Greek","el_GR"
28,"NO","Norway","nb_NO"
29,"CH","Switzerland",""
