"rcaID","repID","rptMStateKey","rcaState","rcaCode","rcaName","rcaType","rcaSensitiveArea","rcaDateArt58","rcaParameterN","rcaParameterP","rcaParameterOther","rcaDateDesignation","rcaANitro","rcaAPhos","rcaB","rcaC","rcaCRelevantDirective","rcaMorphology","rcaHydrologie","rcaHydraulic","rcaAbsenceRisk","rcaDateArt54","rcaArt54Applied"
18163,186,"ES",106,"ESCM589","CATCHMENT OF EMBALSE DE ARGOS",98,18747,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18164,186,"ES",106,"ESCM590","EMBALSE DE ULLIVARRI",98,18748,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18165,186,"ES",106,"ESCM591","EMBALSE DE URRUNAGA",98,18749,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18166,186,"ES",106,"ESCM592","EMBALSE DE LOS HURONES",98,18750,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18167,186,"ES",106,"ESCM593","EMBALSE DE BORNOS",98,18751,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18168,186,"ES",106,"ESCM594","EMBALSE DE ARCOS",98,18752,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18169,186,"ES",106,"ESCM595","EMBALSE DE BEAS",98,18753,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18170,186,"ES",106,"ESCM596","EMBALSE DE GUADALHORCE",98,18754,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18171,186,"ES",106,"ESCM597","EMBALSE DE GUADALTEBA",98,18755,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18172,186,"ES",106,"ESCM598","CATCHMENT OF LA MUGA. EMBALSE DE BOADELLA",98,18756,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18173,186,"ES",106,"ESCM599","CATCHMENT OF EL TER. EMBALSE DE SAU",98,18757,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18174,186,"ES",106,"ESCM600","CATCHMENT OF EMBALSE DE SUSQUEDA",98,18758,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18175,186,"ES",106,"ESCM601","CATCHMENT OF EL LLOBREGAT. EMBALSE DE LA BAELLS",98,18759,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18176,186,"ES",106,"ESCM602","CATCHMENT OF EL LLOBREGAT. EMBALSE DE LA LLOSA DEL CAVALL",98,18760,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18177,186,"ES",106,"ESCM603","CATCHMENT OF EL LLOBREGAT. EMBALSE DE SANT PONÇA",98,18761,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18178,186,"ES",106,"ESCM604","CATCHMENT OF EL FOIX. EMBALSE DEL FOIX",98,18762,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18179,186,"ES",106,"ESCM605","EMBALSE DE GORCH-BLAU",98,18763,,False,False,False,2003-05-29,False,False,True,False,"75/440/CEE NITRATOS",False,False,False,False,,False
18180,186,"ES",106,"ESCM606","EMBALSE DE CUBER",98,18764,,False,False,False,2003-05-29,False,False,True,False,"75/440/CEE NITRATOS",False,False,False,False,,False
18181,186,"ES",106,"ESCM607","EMBALSE DE IBAI-EDER",98,18765,,False,False,False,2004-09-15,False,False,True,False,"",False,False,False,False,,False
18182,186,"ES",106,"ESCM608","EMBALSE DE URKULU",98,18766,,False,False,False,2004-09-15,False,False,True,False,"",False,False,False,False,,False
18183,186,"ES",106,"ESCM609","EMBALSE DE AIXOLA",98,18767,,False,False,False,2004-09-15,False,False,True,False,"",False,False,False,False,,False
18184,186,"ES",106,"ESCM610","EMBALSE DE BARRENDIOLA",98,18768,,False,False,False,2004-09-15,False,False,True,False,"",False,False,False,False,,False
18185,186,"ES",106,"ESCM611","EMBALSE DE EL MILAGRO",98,18769,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18186,186,"ES",106,"ESCM612","EMBALSE DEL CHARCO DEL CURA",98,18770,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18187,186,"ES",106,"ESCM613","EMBALSE DE ALCORA",98,18771,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18188,186,"ES",106,"ESCM614","EMBALSE DE ESPINAR",98,18772,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18189,186,"ES",106,"ESCM615","EMBALSE DE TEJO",98,18773,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18190,186,"ES",106,"ESCM616","EMBALSE DE FUENTES CLARAS",98,18774,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18191,186,"ES",106,"ESCM617","EMBALSE LAS COGOTAS",98,18775,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18192,186,"ES",106,"ESCM618","CATCHMENT OF EMBALSE DE BALAGUER",98,18776,,False,False,False,2006-07-10,False,True,False,False,"",False,False,False,False,,False
18193,186,"ES",106,"ESCM619","EMBALSE DE ZALAMEA",98,18777,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18437,186,"ES",106,"ESCA441","PARQUE NATURAL DE OYAMBRE",101,,,False,False,False,2001-07-31,False,False,False,True,"76/160/CEE",False,False,False,False,,False
18438,186,"ES",106,"ESCA449","ALBUFERA D'ES GRAU",101,,,False,False,False,2003-05-29,False,True,False,True,"76/160/CEE PARAMETROS MICROBIOLOGICOS Y FISICO-QUIMICOS",False,False,False,False,,False
18439,186,"ES",106,"ESCM758","PUERTO DE MAO (MENORCA)",98,18366,,False,False,False,2003-05-29,False,True,False,False,"",False,False,False,False,,False
18440,186,"ES",106,"ESCM762","LAGUNAS DE TORREVIEJA Y LA MATA",98,18406,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18441,186,"ES",106,"ESCM763","LAGUNAS DE RUIDERA",98,18407,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18442,186,"ES",106,"ESCM821","CATCHMENT OF EL TER. EMBALSE DE PASTERAL",98,18779,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18443,186,"ES",106,"ESCM830","PARQUE NATURAL DE CAZORLA I",98,18408,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18444,186,"ES",106,"ESCM837","PARQUE NATURAL DE CAZORLA II",98,18409,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18445,186,"ES",106,"ESCM840","EMBALSE DE TORREMOCHA",98,18410,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18446,186,"ES",106,"ESCM841","EMBALSE DE MONTEHERMOSO",98,18411,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18447,186,"ES",106,"ESCM842","EMBALSE DE MOLINO DE LA HOZ",98,18412,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18448,186,"ES",106,"ESCM843","EMBALSE DE MADROÑERAS",98,18413,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18449,186,"ES",106,"ESCM844","EMBALSE DE EL REY",98,18414,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18450,186,"ES",106,"ESCM845","EMBALSE DE LA CUMBRE",98,18415,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18451,186,"ES",106,"ESCM846","PARQUE NACIONAL DE DOÑANA Y SU ENTORNO",98,18416,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18452,186,"ES",106,"ESCM850","ALBUFEIRA DO ALQUEVA/TRONCO CENTRAL RIO GUADIANA",98,,,False,False,False,2006-07-28,False,True,False,False,"",False,False,False,False,,False
18453,186,"ES",106,"ESCM853","CATCHMENT OF ALBUFEIRA DO TORRAO (RIO TAMEGA)",98,,,False,False,False,2006-07-28,True,True,False,False,"",False,False,False,False,,False
18454,186,"ES",106,"ESCM985","CATCHMENT OF PORT DELS ALFACS",98,18371,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18455,186,"ES",106,"ESCM986","CATCHMENT OF EL FANGAR",98,18372,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18456,186,"ES",106,"ESCM988","CATCHMENT OF EL GAIA- EMBALSE DE CATLLAR",98,18780,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18457,186,"ES",106,"ESCM991","CALA SANTA MARIA (CABRERA)",98,18373,,False,False,False,2003-05-29,False,True,False,False,"",False,False,False,False,,False
18458,186,"ES",106,"ESCA620","FRENTE LITORAL DEL P N DEL PRAT DE CABANES - TORRE",101,,,False,False,False,2002-09-05,True,True,False,False,"76/160/CEE",False,False,False,False,,False
18459,186,"ES",106,"ESCA621","BAHIA DE BENICASSIM - CASTELLON DE LA PLANA",101,,,False,False,False,2002-09-05,True,True,False,False,"76/160/CEE",False,False,False,False,,False
18460,186,"ES",106,"ESCA622","FRENTE LITORAL DEL PARQUE NATURAL DE L'ALBUFERA",101,,,False,False,False,2002-09-05,True,True,False,False,"76/160/CEE",False,False,False,False,,False
18461,186,"ES",106,"ESCM999","CATCHMENT OF RIUDECANYES. EMBALSE DE RIUDECANYES",98,18781,,False,False,False,2006-06-12,True,True,False,False,"",False,False,False,False,,False
18462,186,"ES",106,"ES-NA-2010","Area Normal de España",100,,,False,False,False,,False,False,False,False,"",False,False,False,False,,False
18463,186,"ES",106,"ESCA437","PARAJE NATURAL DE LAS MARISMAS DEL ODIEL",101,,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18464,186,"ES",106,"ESCA438","DELTA DEL EBRO",101,,,False,False,False,2006-07-10,False,True,False,False,"",False,False,False,False,,False
18465,186,"ES",106,"ESCA439","PARQUE NATURAL BAHIA DE CADIZ",101,,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18466,186,"ES",106,"ESCA440","DESEMBOCADURA DEL RIO TINTO",101,,,False,False,False,2005-10-25,False,True,False,False,"",False,False,False,False,,False
18288,186,"ES",106,"ESCM663","ESTANYS DE SA SAL ROSSA (IBIZA)",98,18515,,False,False,False,2003-05-29,False,True,False,False,"",False,False,False,False,,False
18289,186,"ES",106,"ESCM664","SES SALINES - STANYS DES CAVALLET (IBIZ",98,18516,,False,False,False,2003-05-29,False,True,False,False,"",False,False,False,False,,False
18290,186,"ES",106,"ESCM685","ES JONDAL (IBIZA)",98,18492,,False,False,False,2003-05-29,False,False,False,True,"76/160/CEE PARAMETROS MICROBIOLOGICOS Y FISICO-QUIMICOS",False,False,False,False,,False
18291,186,"ES",106,"ESCM686","PORT DES PORROIG (IBIZA)",98,18493,,False,False,False,2003-05-29,False,False,False,True,"76/160/CEE PARAMETROS MICROBIOLOGICOS Y FISICO-QUIMICOS",False,False,False,False,,False
18292,186,"ES",106,"ESCM667","ES SALOBRAR DE CAMPOS (MALLORCA)",98,18405,,False,False,False,2003-05-29,False,True,False,False,"",False,False,False,False,,False
