"repID","rptID","rptMStateKey","repCode","repVersion","repSituationAt","repReportedPeriod"
51,19,"MT","MT",2011-11-28,2010-12-31,"2010"
55,4,"EE","EE",,2009-12-31,"2009"
64,10,"LU","LU",,2010-12-31,"2010"
96,8,"LV","LV",2011-11-14,2009-12-31,"2009"
100,25,"IE","IE",,2010-12-31,"2010"
134,14,"SE","SE",2011-12-15,2010-12-31,"2010"
143,15,"SK","SK",2011-12-17,2009-12-31,"2009"
145,13,"RO","RO",,2009-12-31,"2009"
159,17,"CY","CY",,2009-12-31,"2009"
166,9,"LT","LT",2012-02-29,2009-12-31,"2009"
169,26,"CZ","CZ",,2010-12-31,"2010"
170,11,"NL","NL",,2009-12-31,"2009"
185,2,"BE","BE",2012-01-27,2010-12-31,"2010"
186,20,"ES","ES",2012-01-27,2010-12-31,"2010"
197,5,"FI","FI",2012-02-21,2009-12-31,"2009"
206,7,"HU","HU",2012-02-02,2009-12-31,"2009"
208,1,"AT","AT",2012-02-06,2010-12-31,"2010"
225,12,"PT","PT",,2009-12-31,"2009"
232,21,"PL","PL",2012-02-28,2010-12-31,"2010"
234,18,"DK","DK",2012-02-29,2010-12-31,"2010"
239,27,"GR","GR",,2010-12-31,"2010"
242,24,"IT","IT",,2010-12-31,"2010"
244,22,"BG","BG",2012-03-14,2010-12-31,"2010"
248,16,"SI","SI",2012-03-22,2009-12-31,"2009"
249,23,"UK","UK",2012-03-23,2010-12-31,"2010"
251,3,"DE","DE",,2010-12-31,"2010"
254,6,"FR","FR",2012-03-30,2010-12-31,"2010"
255,28,"NO","NO",,2009-12-31,"2009"
