"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","BODIncoming","CODIncoming","NIncoming","PIncoming","BODDischarge","CODDischarge","NDischarge","PDischarge","QA flag","Remark"
106,"BE",140457,"BEBRU1","BRUXELLES SUD/BRUSSEL ZUID",5962,16687,1514,203,418,1463,568,49,"",""
106,"BE",140458,"BEBRU2","BRUXELLES NORD/BRUSSEL NOORD",18921,44901,4229,523,488,4569,806,97,"",""
106,"DE",195553,"DETP_HE066350031102","Bad Wildungen / Wega",,,72.35900116,18.569999695,,,29.969999313,1.7699999809,"",""
106,"DE",195481,"DETP_HE066320090301","Heringen (Werra)",,,44.479999542,4.5883002281,,,9.429599762,0.95446002483,"",""
106,"DE",195480,"DETP_HE066320080701","Haunetal / Neukirchen",,,8.765999794,1.2664999962,,,5.1810002327,0.70358997583,"",""
106,"DE",195479,"DETP_HE066320060101","Friedewald",,,12.104999542,1.9780999422,,,9.0085000992,1.1404000521,"",""
106,"DE",195478,"DETP_HE066320050101","Cornberg",,,6.4440999031,0.83621001244,,,3.7130999565,0.42344000936,"",""
106,"DE",195477,"DETP_HE066320040102","Breitenbach A. Herzberg",,,8.1154003143,1.1068999767,,,5.6319999695,0.55058997869,"",""
106,"DE",195561,"DETP_HE066350090301","Edertal / Bergheim",,,22.24200058,4.9345002174,,,5.5973000526,0.73649001122,"",""
106,"DE",195567,"DETP_HE066350140502","Hatzfeld (Eder) / Reddighausen-Dodenau",,,18.12899971,3.668900013,,,2.4711000919,1.4674999714,"",""
106,"DE",195474,"DETP_HE066310230101","Tann (Rhön) / Günthers",,,20.041999817,4.4584999084,,,2.5639998913,1.0825999975,"",""
106,"DE",195555,"DETP_HE066350060301","Burgwald / Ernsthausen",,,11.229000092,1.7365000248,,,0.14398999512,0.26004999876,"",""
106,"DE",195556,"DETP_HE066350070102","Diemelsee / Adorf",,,14.145000458,2.8563001156,,,3.9942998886,0.95590001345,"",""
106,"DE",195557,"DETP_HE066350070501","Diemelsee / Giebringhausen",,,13.284999847,2.1494998932,,,8.4362001419,0.549480021,"",""
106,"DE",195558,"DETP_HE066350070601","Diemelsee / Heringhausen",,,2.4600000381,0.4568400085,,,2.2678999901,0.051001001149,"",""
106,"DE",195559,"DETP_HE066350080501","Diemelstadt / Neudorf",,,5.8752999306,0.79012000561,,,5.3302998543,0.66856998205,"",""
106,"DE",195659,"DETP_RP101402322","Idartal Sensweiler",,,8.6199998856,1.5299999714,,,2.0399999619,0.75,"",""
106,"DE",195484,"DETP_HE066320120801","Ludwigsau / Mecklar",,,3.5683999062,0.56204998493,,,1.8115999699,0.34430000186,"",""
106,"DE",195491,"DETP_HE066320180201","Rotenburg a. d. Fulda / Braach",,,76.388999939,18.919000626,,,19.475999832,3.1842000484,"",""
106,"DE",195465,"DETP_HE066310131601","Hofbieber / Wiesen",,,20.798000336,6.8786001205,,,11.989999771,1.7195999622,"",""
106,"DE",195466,"DETP_HE066310150301","Hünfeld",,,67.737998962,22.284999847,,,21.096000671,3.6008999348,"",""
106,"DE",195467,"DETP_HE066310150701","Hünfeld / Michelsrombach",,,8.3315000534,1.7786999941,,,2.3338999748,0.83114999533,"",""
106,"DE",195468,"DETP_HE066310160601","Kalbach / Uttrichshausen",,,11.883999825,2.2083001137,,,3.6284000874,0.77249997854,"",""
106,"DE",195469,"DETP_HE066310180601","Neuhof",,,50.103000641,7.2365999222,,,14.425000191,1.6420999765,"",""
