"aggID","aggState","repID","aggCode","aggName","aggInhabitantsConnectedIAS","aggInhabitantsWithoutTreatment","aggRemarks"
12218,106,498,"ROAG_101813","Chirnogi",0,7455,"NULL"
12219,106,498,"ROAG_101467","Budesti",0,7089,"NULL"
12220,106,498,"ROAG_102428","Curcani",0,5273,"NULL"
12221,106,498,"ROAG_102954","Frumusani",0,4619,"NULL"
12222,106,498,"ROAG_104760","Radovanu",0,4394,"NULL"
12223,106,498,"ROAG_105838","Vasilati",0,4316,"NULL"
12224,106,498,"ROAG_105838_01","Galbinasi",0,3448,"NULL"
12225,106,498,"ROAG_100647","Mitreni",0,4294,"NULL"
12226,106,498,"ROAG_104644","Plataresti",0,3743,"NULL"
12227,106,498,"ROAG_105393","Soldanu",0,3336,"NULL"
12228,106,498,"ROAG_105231","Sohatu",0,3058,"NULL"
12229,106,498,"ROAG_104332","Nana",0,2460,"NULL"
12230,106,498,"ROAG_104092","Luica",0,2106,"NULL"
12231,106,498,"ROAG_101733","Cascioarele",0,1906,"NULL"
12232,106,498,"ROAG_103023","Fundeni",0,4859,"NULL"
12233,106,498,"ROAG_65690","Gaesti",0,7013,"NULL"
12234,106,498,"ROAG_66090","Titu",94,7454,"NULL"
12235,105,498,"ROAG_66161","Branistea",0,4398,"NULL"
12236,106,498,"ROAG_68636","Racari - Tartasesti ",0,8641,"NULL"
12237,105,498,"ROAG_105543","Tartasesti",0,4994,"NULL"
12238,106,498,"ROAG_68636_01","Ghimpati",0,860,"NULL"
12239,106,498,"ROAG_68636_02","Colacu",0,829,"NULL"
12240,106,498,"ROAG_68636_03","Sabiesti",0,507,"NULL"
12241,106,498,"ROAG_68636_04","Balanesti",0,200,"NULL"
12242,106,498,"ROAG_68636_05","Stanesti",0,220,"NULL"
12243,106,498,"ROAG_105543_01","Gulia",0,1029,"NULL"
12244,106,498,"ROAG_66866","Corbii Mari",0,8316,"NULL"
12245,106,498,"ROAG_66866_01","Ungureni ",0,2022,"NULL"
12246,106,498,"ROAG_66866_02","Grozavesti",0,1980,"NULL"
12247,106,498,"ROAG_66633","Cobia",0,3180,"NULL"
12248,106,498,"ROAG_66250","Barbuletu",0,2361,"NULL"
12249,106,498,"ROAG_67416","Dragomiresti ",0,4624,"NULL"
12250,106,498,"ROAG_67416_01","Mogosesti",0,552,"NULL"
12251,106,498,"ROAG_67416_02","Rancaciov",0,1969,"NULL"
12252,106,498,"ROAG_67416_03","Geangoesti",0,365,"NULL"
12253,106,498,"ROAG_67416_04","Ungureni",0,1227,"NULL"
12254,106,498,"ROAG_67336","Dragodana",0,6775,"NULL"
12255,106,498,"ROAG_102295","Crevedia",0,6400,"NULL"
12256,106,498,"ROAG_67915","Lunguletu",0,5586,"NULL"
12257,106,498,"ROAG_67844","Ludesti",0,5137,"NULL"
12258,106,498,"ROAG_101859","Ciocanesti",0,5093,"NULL"
12259,106,498,"ROAG_69269","Vacaresti",0,4580,"NULL"
12260,106,498,"ROAG_69269_01","Bratestii de Jos",0,623,"NULL"
12261,106,498,"ROAG_68351","Odobesti",0,4984,"NULL"
12262,106,498,"ROAG_68985","Uliesti",0,3770,"NULL"
12263,106,498,"ROAG_68985_01","Manastioara",0,637,"NULL"
12264,106,498,"ROAG_68137","Mogosani",0,4328,"NULL"
12265,105,498,"ROAG_68075","Matasaru",0,2817,"NULL"
12266,106,498,"ROAG_68137_01","Chirca",0,171,"NULL"
12267,106,498,"ROAG_68137_02","Cojocaru",0,835,"NULL"
12268,106,498,"ROAG_68137_03","Merii",0,817,"NULL"
12269,106,498,"ROAG_68137_04","Zavoiu",0,902,"NULL"
12270,106,498,"ROAG_68075_01","Tetcoiu",0,1068,"NULL"
12271,106,498,"ROAG_68075_02","Poroinica",0,833,"NULL"
12272,106,498,"ROAG_68075_03","Putu cu Salcie",0,744,"NULL"
12273,106,498,"ROAG_68299","Nucet",0,4057,"NULL"
12274,106,498,"ROAG_69349","Visina",0,4103,"NULL"
12275,106,498,"ROAG_68878","Salcioara",0,2972,"NULL"
12276,106,498,"ROAG_68878_01","Ghinesti",0,1100,"NULL"
12277,106,498,"ROAG_101350","Brezoaiele ",0,3893,"NULL"
12278,106,498,"ROAG_67657","Gura Sutii ",0,3390,"NULL"
12279,106,498,"ROAG_67657_01","Sperieteni",0,1913,"NULL"
12280,106,498,"ROAG_68440","Poiana ",0,3739,"NULL"
12281,106,498,"ROAG_67130","Costesti din Vale",0,3485,"NULL"
12282,106,498,"ROAG_68538","Produlesti",0,3413,"NULL"
12283,106,498,"ROAG_67684","Hulubesti",0,1751,"NULL"
12284,106,498,"ROAG_68477","Potlogi",0,2118,"NULL"
12285,106,498,"ROAG_68477_01","Ionesti",0,1773,"NULL"
12286,106,498,"ROAG_68477_02","Romanesti ",0,3638,"NULL"
12287,106,498,"ROAG_68477_03","Pitaru",0,892,"NULL"
12288,106,498,"ROAG_66535","Candesti",0,2653,"NULL"
12289,106,498,"ROAG_66535_01","Candesti Deal",0,233,"NULL"
12290,106,498,"ROAG_68262","Morteni",0,2944,"NULL"
12291,106,498,"ROAG_68930","Tatarani",0,2388,"NULL"
12292,106,498,"ROAG_68930_01","Dragodanesti",0,1274,"NULL"
12293,106,498,"ROAG_68930_02","Gheboieni",0,1563,"NULL"
12294,106,498,"ROAG_67782","Lucieni",0,2845,"NULL"
12295,106,498,"ROAG_69312","Valeni Dambovita",0,2435,"NULL"
12296,106,498,"ROAG_67951","Malu cu Flori",0,2484,"NULL"
12297,106,498,"ROAG_105151","Slobozia Moara",0,2165,"NULL"
12298,106,498,"ROAG_68011","Manesti",0,1426,"NULL"
12299,106,498,"ROAG_68011_01","Draganesti Ungureni",0,1254,"NULL"
12300,106,498,"ROAG_69189","Valea Mare",0,1002,"NULL"
12301,106,498,"ROAG_69189_01","Feteni",0,47,"NULL"
12302,106,498,"ROAG_69189_02","Saru",0,148,"NULL"
12303,106,498,"ROAG_69189_03","Stratonesti",0,25,"NULL"
12304,106,498,"ROAG_66777","Contesti",0,1460,"NULL"
12305,106,498,"ROAG_66777_01","Balteni",0,1585,"NULL"
12306,106,498,"ROAG_66777_02","Boteni",0,1050,"NULL"
12307,106,498,"ROAG_66777_03","Calugareni",0,174,"NULL"
12308,106,498,"ROAG_66777_04","Crangasi",0,334,"NULL"
12309,106,498,"ROAG_66777_05","Mereni",0,173,"NULL"
12310,106,498,"ROAG_69535","Voinesti ",0,1584,"NULL"
12311,106,498,"ROAG_68574","Pucheni",0,1861,"NULL"
12312,106,498,"ROAG_68896","Selaru",0,1031,"NULL"
12313,106,498,"ROAG_68896_01","Fierbinti",0,1574,"NULL"
12314,106,498,"ROAG_68896_02","Glogoveanu",0,815,"NULL"
12315,106,498,"ROAG_65761","Petresti",0,1117,"NULL"
12316,106,498,"ROAG_65761_01","Coada Izvorului ",0,321,"NULL"
12317,106,498,"ROAG_65761_02","Potlogeni Deal",0,181,"NULL"
12318,106,498,"ROAG_65761_03","Puntea de Greci",0,754,"NULL"
12319,106,498,"ROAG_66955","Cornatelu",0,1636,"NULL"
12320,106,498,"ROAG_65510","Ulmi",0,4065,"NULL"
12321,105,498,"ROAG_67194","Crangurile",0,1631,"NULL"
12322,106,498,"ROAG_67194_01","Patroaia Deal",0,239,"NULL"
12323,106,498,"ROAG_67194_02","Patroaia Vale",0,768,"NULL"
12324,106,498,"ROAG_65716_01","Voia",0,515,"NULL"
12325,105,498,"ROAG_65716","Gura Foii",0,1713,"NULL"
12326,106,498,"ROAG_65716_02","Bumbuia",0,427,"NULL"
12327,106,498,"ROAG_128720","Scornicesti",0,2602,"NULL"
12328,106,498,"ROAG_128720_01","Baltati",0,401,"NULL"
12329,106,498,"ROAG_128720_02","Bircii",0,1179,"NULL"
12330,106,498,"ROAG_128720_03","Chiteasca",0,500,"NULL"
12331,106,498,"ROAG_128720_04","Constantinesti",0,565,"NULL"
12332,106,498,"ROAG_128720_05","Jitaru",0,704,"NULL"
12333,106,498,"ROAG_128720_06","Margineni Slobozia",0,1058,"NULL"
12334,106,498,"ROAG_128720_07","Mihailesti Popesti",0,358,"NULL"
12335,106,498,"ROAG_128720_08","Mogosesti",0,551,"NULL"
12336,106,498,"ROAG_128720_09","Negreni",0,1241,"NULL"
12337,106,498,"ROAG_128720_10","Piscani",0,280,"NULL"
12338,106,498,"ROAG_128720_11","Rusciori",0,284,"NULL"
12339,106,498,"ROAG_128720_12","Suica",0,255,"NULL"
