"rptID","rptMState","rptMStateKey","rptMStateValue","rptCulture"
1,65,"AT","Austria","de-AT"
2,66,"BE","Belgium","nl_BE"
3,70,"DE","Germany","de-DE"
4,72,"EE","Estonia","et_EE"
5,74,"FI","Finland","fi_FI"
6,75,"FR","France","fr-FR"
7,77,"HU","Hungary","hu-HU"
8,82,"LV","Latvia","lv_LV"
9,80,"LT","Lithuania","lt_LT"
10,81,"LU","Luxembourg","fr_LU"
11,84,"NL","Netherlands","nl_NL"
12,87,"PT","Portugal","pt_PT"
13,88,"RO","Romania","ro-RO"
14,89,"SE","Sweden","sv_SE"
15,91,"SK","Slovakia","sk-SK"
16,90,"SI","Slovenia","sl_SI"
17,68,"CY","Cyprus","el_CY"
18,71,"DK","Denmark","da_DK"
19,83,"MT","Malta","en-GB"
20,73,"ES","Spain","es_ES"
21,86,"PL","Poland","pl-PL"
22,67,"BG","Bulgaria","bg_BG"
23,92,"UK","United Kingdom","en-GB"
24,79,"IT","Italy","it-IT"
25,78,"IE","Ireland","en_IE"
26,69,"CZ","Czech Republic","cs_CZ"
27,76,"GR","Greece","el_GR"
28,85,"NO","Norway","nb_NO"
29,131,"CH","Switzerland",""
30,132,"HR","Croatia","hr_HR"
