"uwwState","rptMStateKey","uwwID","uwwCode","uwwName","uwwBODIncoming","uwwCODIncoming","uwwNIncoming","uwwPIncoming","uwwBODDischarge","uwwCODDischarge","uwwNDischarge","uwwPDischarge","QAflag","Remark"
106,"EE",205165,"EEPUH0570020","Haapsalu  reoveepuhasti",,,,,,,,," "," "
106,"EE",205166,"EEPUH0860200","Võru linna puhasti",,,,,,,,," "," "
106,"EE",205167,"EEPUH0700010","Rapla",,,,,,,,," "," "
106,"EE",205168,"EEPUH0510730","Paide reoveepuhasti",,,,,,,,," "," "
106,"EE",205169,"EEPUH0592910","Tapa linna reoveepuhasti",,,,,,,,," "," "
106,"EE",205170,"EE852516","Rakvere linna reoveepuhasti",,,,,,,,," "," "
106,"EE",205171,"EEPUH0820020","Valga linna reoveepuhasti",,,,,,,,," "," "
105,"EE",205172,"EEHAp127","Maardu",,,,,,,,," "," "
106,"EE",205173,"EEPUH0440730","Sillamäe PS",,,,,,,,," "," "
106,"EE",205174,"EE0511139","Narva, KPS peale I järje",,,,,,,,," "," "
106,"EE",205175,"EEPUH0000008","Kehra reoveepuhasti",,,,,,,,," "," "
105,"EE",205176,"EEIVp036","Ahtme",,,,,,,,," "," "
106,"EE",205177,"EE0625104","Pärnu Mõrra reoveepuhastusjaam",,,,,,,,," "," "
106,"EE",205178,"EEPUH0740130","Kuressaare reoveepuhasti",,,,,,,,," "," "
106,"EE",205179,"EE061415","Tallinna reoveepuhastusjaam",,,,,,,,," "," "
106,"EE",205180,"EE032211","Kohtla-Järve regionaalne reoveepuhasti",,,,,,,,," "," "
106,"EE",205181,"EEPUH0651180","Põlva linna RVP",,,,,,,,," "," "
106,"EE",205182,"EEPUH0840040","Viljandi reoveepuhasti, Kösti",,,,,,,,," "," "
106,"EE",205183,"EEPUH0370930","Keila RVP",,,,,,,,," "," "
106,"EE",205184,"EEPUH0595010","Kunda reoveepuhasti",,,,,,,,," "," "
106,"EE",205185,"EEPUH0820540","Tõrva Vanamõisa reoveepuhasti",,,,,,,,," "," "
106,"EE",205186,"EEPUH0820550","Tõrva Riiska",,,,,,,,," "," "
106,"EE",205187,"EEPUH0700030","Kohila reoveepuhasti",,,,,,,,," "," "
106,"EE",205188,"EEPUH0590610","Tamsalu reoveepuhasti",,,,,,,,," "," "
106,"EE",205189,"EEPUH0677010","Kilingi-Nõmme linna puhasti",,,,,,,,," "," "
106,"EE",205190,"EEPUH0675600","Vändra alevi reoveepuhasti",,,,,,,,," "," "
106,"EE",205191,"EEPUH0821040","Otepää linna reoveepuhasti",,,,,,,,," "," "
106,"EE",205192,"EEPUH0490010","Jõgeva reoveepuhasti",,,,,,,,," "," "
106,"EE",205193,"EEPUH0390030","Kärdla Röösna reoveepuhasti",,,,,,,,," "," "
105,"EE",205194,"EEHIp004","Sõnajala",,,,,,,,," "," "
