ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
28800,Lt_2018_Art_17,LT-AG-022,Druskininkai,"Pateikta investicijų suma susijusi tik su IAS inventorizacija ir IAS informacinės sistemos diegimu, kuri apims 75 aglomeracijas. Investicijų į centralizuotų sistemų plėtrą dydis ir ES finansavimo suma bus aiškūs įsigaliojus Geriamojo vandens tiekimo ir nuotekų tvarkymo įstatymo pakeitimo įstatymui, po ko savivaldybės turės patikslinti aglomeracijų ribas.",0.016,Europos Sąjungos Sanglaudos fondas,20231231,20181231,20190101,,,,0.016,,,i) Numatoma centralizuotų nuotekų valymo įrenginių plėtra; ii) Pateikti pasiūlymai įstatyminės bazės keitimams sudarantis prielaidas steigti IAS informacinę stemą; iii) inicijuotas viešasis pirkimas IAS inventorizacijai; iv) numatoma įdiegti IAS informacinę sistemą.,,,Didelis ITS naudojimo mastas,NC
28562,IT006,IT090000000125,REGGELLO,,,,20211231,20181231,20191231,5290,,,0.65,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000126,SIECI,,,,20191231,20151231,20161231,3518,,,0.4,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000128,SAN_FRANCESCO,,,,20191231,20171231,20181231,3769,,,1.2,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000129,MONTESPERTOLI,,,,20211231,20150101,20180101,5651,,,5.19,,,Adeguamento e potenziamento impianto esistente e collettamento scarichi non depurati,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000130,MONTELUPO_FIORENTINO,,,,20201231,20181231,20191231,11517,,,1.3,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000133,TAVARNUZZE,,,,20211231,20181231,20191231,5103,,,0.55,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000134,IMPRUNETA,,,,20211231,20050101,20150409,5386,,,10.1,,,Realizzazione nuovo depuratore e collettamento scarichi non depurati al nuovo impianto,,,Mancanza dell'impianto di depurazione,NC
28562,IT006,IT090000000135,STRADA_IN_CHIANTI,,,,20211231,20110101,20150101,3059,,,6.8,,,Realizzazione nuovo depuratore e collettamento scarichi non depurati al nuovo impianto,,,Parziale collettamento all'impianto di depurazione inadeguato,NC
28562,IT006,IT090000000138,ZONA_FIRENZE,,,,20201231,20110101,20180331,642336,,,6.5,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000140,OSTERIA_BIANCA,,,,20211231,20181231,20191231,2851,,,0.2,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28872,RO06,ROAG_133722,Iordacheanu,,0,,20211231,20170101,20190101,2950,100,0,3.490695,0,,Extension of the UWW sewage collection system to be treated in  Mocesti UWWTP-ROWP_133722_01_01,3.490695,"National budget, Local budget",Low collecting rate of urban wastewate for compliance,NC
28872,RO06,ROAG_133722_01,Mocesti,,0,,20211231,20170101,20190101,2192,100,0,2.476305,0,,Construction  of the UWW sewage collection system to be treated in Mocesti UWWTP-ROWP_133722_01_01,2.476305,"National budget, Local budget",NR,PD
28872,RO06,ROAG_133090,Dumbrava,,0,,20211231,20170101,20190101,2450,100,0,2.983,0,,Construction  of the UWW sewage collection system to be treated in Dumbrava  UWWTP-pumping stations for connection to the ROWP_133090_01,2.983,"National budget, Local budget",NR,PD
28872,RO06,ROAG_130712,Brazi,,0,,20211231,20170101,20170101,3955,100,0,0,0,,Improvement of wastewater collecting rate,0,,Low collecting rate of urban wastewate for compliance,NC
28872,RO06,ROAG_133018,Draganesti,,0,,20211231,20170101,20190101,4897,100,0,1.358,0,,Construction  of the UWW sewage collection system to be treated in Draganesti UWWTP- pumping stations for connection to the ROWP_133018_01,1.358,"National budget, Local budget",Absence of the collection systems and IAS,NC
28872,RO06,ROAG_133688,Gura Vadului,,0.954,EARDF,20211231,20170101,20190101,2164,100,0,0.954,0,,Extension of the UWW sewage collection system to be treated in Gura Vadului UWWTP-ROWP_133688_01,0,,NR,PD
28872,RO06,ROAG_133394,Fulga,,0,,20211231,20170101,20190101,3430,100,0,2.127,0,,Construction  of the UWW sewage collection system to be treated in Fulga UWWTP- pumping stations for connection to the ROWP_133394_01,2.127,"National budget, Local budget",NR,PD
28872,RO06,ROAG_132164,Baba Ana,,0.647,EARDF,20211231,20170101,20190101,2941,100,0,0.647,0,,Extension of the UWW sewage collection system to be treated in Baba Ana ROWP- pumping stations for connection to  the ROWP_132164_01;ROWP_132164_02;ROWP_132164_03,0,,NR,PD
28872,RO06,ROAG_132752,Colceag,,0,,20211231,20120101,20120424,2038,100,0,1.273,0,,Construction of the UWW sewage collection system to be treated in Colceag UWWTP-ROWP_132752_01,1.273,"National budget, Local budget",NR,PD
28872,RO06,ROAG_131899,Adunati,,0,,20261231,20180101,20200101,2252,100,0,4.05,0,,Construction  of the UWW sewage collection system to be treated in Adunati UWWTP-ROWP_131899_01,4.05,"National budget, Local budget",NR,PD
28872,RO06,ROAG_134559,Poenarii Burchii,,0.935,EARDF,20211231,20170101,20190101,1964,100,0,0.935,0,,Construction  of the UWW sewage collection system to be treated in Poienarii Burchii  UWWTP-ROWP_134559_01,0,,Absence of the collection systems and IAS,NC
28872,RO06,ROAG_134559_01,Ologeni-Tatarai,,0,,20261231,20180101,20200101,1960,100,0,2.486,0,,Construction  of the UWW sewage collection system to be treated in Ologeni-Tatarai UWWTP-ROWP_134559_01_01,2.486,"National budget, Local budget",Absence of the collection systems and IAS,NC
28872,RO06,ROAG_136278,Batrani,,0,,20211231,20130101,20131231,2176,100,0,0.59,0,,Construction  of the UWW sewage collection system to be treated in Batrani UWWTP-ROWP_136278_01,0.59,"National budget, Local budget",NR,PD
28872,RO06,ROAG_134336,Pacureti,,0,,20261231,20180101,20200101,2726,100,0,5.967,0,,Construction  of the UWW sewage collection system to be treated in Pacureti UWWTP-ROWP_134336_01,5.967,"National budget, Local budget",NR,PD
28872,RO06,ROAG_135146,Salciile,,0,,20211231,20120101,20120101,1961,100,0,0.817,0,,Construction  of the UWW sewage collection system to be treated in Salciile UWWTP-ROWP_135146_01,0.817,"National budget, Local budget",NR,PD
28872,RO06,ROAG_135020,Rafov,,0,,20211231,20170101,20190101,2636,100,0,1.11,0,,Construction  of the UWW sewage collection system to be treated in Rafov UWWTP - ROWP_135020_01,1.11,"National budget, Local budget",Absence of the collection systems and IAS,NC
28872,RO06,ROAG_135020_01,Buda,,0,,20261231,20180101,20200101,2210,100,0,1.352,0,,Construction  of the UWW sewage collection system to be treated in Olari UWWTP  - pumping stations for connection to the UWWTP-ROWP_136250_01,1.352,"National budget, Local budget",NR,PD
28872,RO06,ROAG_136250,Olari,,0,,20261231,20180101,20200101,2196,100,0,1.125,0,,Construction  of the UWW sewage collection system to be treated in Olari UWWTP-ROWP_136250_01,1.125,"National budget, Local budget",NR,PD
28872,RO06,ROAG_131933_01,Vadu Parului,,0,,20261231,20180101,20200101,3063,100,0,2.363,0,,Construction  of the UWW sewage collection system to be treated in Albesti Paleologu UWWTP  - pumping stations for connection to the UWWTP (ROWP_131933_01),2.363,"National budget, Local budget",NR,PD
28872,RO06,ROAG_136241,Cocorastii Colt,,0.592,EARDF,20211231,20170101,20190101,2523,100,0,0.592,0,,Construction  of the UWW sewage collection system to be treated in Cocorastii Colt UWWTP-ROWP_136241_01,0,,NR,PD
28872,RO06,ROAG_134194,Manesti,,0,,20261231,20180101,20200101,3914,100,0,4.14,0,,Construction  of the UWW sewage collection system to be treated in Manesti UWWTP-ROWP_136241_01,4.14,"National budget, Local budget",Absence of the collection systems and IAS,NC
28872,RO06,ROAG_135850,Tinosu,,0,,20211231,20170101,20190101,2394,100,0,2.07,0,,Construction  of the UWW sewage collection system to be treated in Tinosu UWWTP-ROWP_135850_01,2.07,"National budget, Local budget",NR,PD
28562,IT006,IT090000000142,DICOMANO,,,,20211231,20181231,20191231,4109,,,0.6,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000144,STABBIA,,,,20211231,20181231,20191231,2299,,,40.18,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000145,CERRETO_GUIDI,,,,20211231,20150101,20190101,2524,,,2.54,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000147,LIMITE,,,,20181231,20171231,20180101,4491,,,0.15,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000149,BORGO_SAN_LORENZO,,,,20211231,20181231,20191231,12540,,,0.6,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000151,GRASSINA_PONTE_A_EMA,,,,20201231,20161231,20181231,9763,,,0.35,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000157,QUARRATA,,,,20211231,20181231,20191231,9351,,,4.6,,,Collettamento scarichi non depurati a depuratore esistente,,,Parziale collettamento all'impianto di depurazione,NC
28562,IT006,IT090000000159,PISTOIA,,,,20211231,20050101,20170101,79415,,,26.8,,,Realizzazione nuovo depuratore. Adeguamento e potenziamento impianto esistente. Collettamento scarichi non depurati,,,Parziale collettamento all'impianto di depurazione,NC
28872,RO06,ROAG_131461,Dumbravesti,,0,,20211231,20170101,20190101,2944,100,0,2.281,0,,Construction  of the UWW sewage collection system to be treated in Dumbravesti UWWTP,2.281,"National budget, Local budget",NR,PD
28872,RO06,ROAG_134390,Plopu,,0,,20211231,20170101,20190101,2311,100,0,2.241,0,,Construction  of the UWW sewage collection system to be treated in Plopu UWWTP-ROWP_134390_01,2.241,"National budget, Local budget",NR,PD
28872,RO06,ROAG_134096_01_03,Homoraciu,,0,,20261231,20180101,20200101,2699,100,0,3.978,0,,Construction  of the UWW sewage collection system to be treated in Valenii de Munte UWWTP-pumping stations for connection to the ROWP_131817_01,3.978,"National budget, Local budget",Absence of the collection systems and IAS,NC
28872,RO06,ROAG_42682,Braila,,7.128,CF,20221231,20170101,20180101,238362,100,0,8.386,0,,Extension of the UWW sewage collection system to be treated in Braila UWWTP  - pumping stations for connection to the ROWP CUP Dunarea Braila - SE Braila ROWP_42682_01 and improvement of wastewater collecting rate,1.258,"National budget, Local budget",Absence of a part of wastewater collection system; Lowr collecting rate of urban wastewate for compliance,NC
28872,RO06,ROAG_42708,Chiscani,,0,,20211231,20170101,20190101,4098,100,0,2.021,0,,Extension  of the UWW sewage collection system - pumping station to the Braila UWWTP ROWP_42682_01,2.021,"National budget, Local budget",Absence of a part of wastewater collection system; Lowr collecting rate of urban wastewate for compliance,NC
