rcaCode,rcaMethod54,rcaNDischarged54,rcaNIncoming54,rcaPDischarged54,rcaPIncoming54,rcaPlants54,rcaPlantsCapacity54,repCode,ReportNetEnvelopeFileId
AT_RA_1_CM,M,9604,49493,741,7734,1883,22036446,AT_UWWTD_2017_1,28202
NL2014,M,14401,92967,1769,13401,327,21796072,NL2018,27916
BE1,M,1480,7053,144,887,16,1897950,BE-2016,28927
FR_SA_CA_01213,M,12,99,3,12,6,60167,FR2016,28443
FR_SA_CA_03201,M,37,303,5,39,8,153570,FR2016,28443
FR_SA_CA_03205,M,178,1090,24,128,10,334600,FR2016,28443
FR_SA_CA_04202,M,172,934,16,117,178,421670,FR2016,28443
FR_SA_CA_04205,M,12,86,1,14,11,92430,FR2016,28443
FR_SA_CA_04207,M,5,155,1,19,1,57000,FR2016,28443
FR_SA_CA_04209,M,38,503,8,77,39,282489,FR2016,28443
FR_SA_CA_04211,M,10,98,2,11,6,44267,FR2016,28443
FR_SA_CA_04215,M,3,20,0,3,1,25000,FR2016,28443
FR_SA_CA_04216,M,150,1337,19,164,28,673350,FR2016,28443
FR_SA_CA_04223,M,231,1688,31,189,13,670680,FR2016,28443
FR_SA_CM_01214,M,714,5074,104,626,219,2056181,FR2016,28443
FR_SA_CM_01215,M,459,2183,51,253,62,569814,FR2016,28443
FR_SA_CM_01216,M,2257,10703,270,1322,223,3419851,FR2016,28443
FR_SA_CM_02020,M,592,5305,117,670,401,2303230,FR2016,28443
FR_SA_CM_02021,M,673,8514,158,1084,174,3598124,FR2016,28443
FR_SA_CM_03202,M,346,3660,62,471,319,1603617,FR2016,28443
FR_SA_CM_03203,M,120,1245,30,159,194,411020,FR2016,28443
FR_SA_CM_03204,M,82,809,26,105,161,440790,FR2016,28443
FR_SA_CM_03207,M,13784,55474,1009,6458,2003,24400323,FR2016,28443
FR_SA_CM_03208,M,17,297,9,38,45,125826,FR2016,28443
FR_SA_CM_04201,M,89,731,15,88,94,327185,FR2016,28443
FR_SA_CM_04202,M,283,2211,40,279,102,880093,FR2016,28443
FR_SA_CM_04203,M,11,165,2,21,6,42840,FR2016,28443
FR_SA_CM_04204,M,48,377,8,92,59,214730,FR2016,28443
FR_SA_CM_04206,M,104,877,17,136,36,515625,FR2016,28443
FR_SA_CM_04207,M,0,3,0,0,1,2000,FR2016,28443
FR_SA_CM_04208,M,38,330,5,41,33,270783,FR2016,28443
FR_SA_CM_04209,M,83,683,12,80,58,363203,FR2016,28443
FR_SA_CM_04211,M,80,981,14,112,46,362272,FR2016,28443
FR_SA_CM_04213,M,3124,16235,385,2005,2360,5735412,FR2016,28443
FR_SA_CM_04214,M,458,2921,64,361,351,1082168,FR2016,28443
FR_SA_CM_04217,M,2331,10859,282,1291,2254,4055681,FR2016,28443
FR_SA_CM_04218,M,534,4358,69,587,399,1774610,FR2016,28443
FR_SA_CM_04219,M,355,2078,42,241,366,781596,FR2016,28443
FR_SA_CM_04220,M,88,757,14,98,115,347258,FR2016,28443
FR_SA_CM_04221,M,56,413,8,46,60,154529,FR2016,28443
FR_SA_CM_04222,M,228,1675,23,200,149,620331,FR2016,28443
FR_SA_CM_05002,M,138,817,18,94,93,281899,FR2016,28443
FR_SA_CM_05008,M,234,1352,38,178,197,487429,FR2016,28443
FR_SA_CM_06225,M,70,771,10,88,45,319428,FR2016,28443
FR_SA_CM_06226,M,159,2047,19,255,44,765649,FR2016,28443
FR_SA_CM_06227,M,99,1068,21,120,27,381600,FR2016,28443
FR_SA_CM_06228,M,10,91,2,10,6,36650,FR2016,28443
FR_SA_CM_06229,M,1239,7088,151,842,1448,3971737,FR2016,28443
FR_SA_CM_06301,M,22,201,3,23,22,91553,FR2016,28443
FR_SA_CM_06303,M,5,39,1,4,11,16355,FR2016,28443
FR_SA_CM_06305,M,21,184,5,21,64,114869,FR2016,28443
FR_SA_CM_06306,M,77,549,16,87,97,268004,FR2016,28443
FR_SA_CM_06309,M,73,623,15,71,83,257751,FR2016,28443
FR_SA_CM_06310,M,114,843,15,90,329,588653,FR2016,28443
FR_SA_CM_06311,M,37,393,3,49,33,179332,FR2016,28443
FR_SA_CM_06312,M,18,109,3,13,28,75388,FR2016,28443
FR_SA_CM_06314,M,33,343,3,34,15,164415,FR2016,28443
FR_SA_CM_06315,M,15,124,4,16,24,76145,FR2016,28443
FR_SA_CM_06316,M,101,566,12,65,60,282504,FR2016,28443
FR_SA_CM_06317,M,214,1116,33,165,53,391700,FR2016,28443
FR_SA_CM_06318,M,18,301,4,37,8,123800,FR2016,28443
FR_SA_CM_06320,M,15,140,1,17,2,32250,FR2016,28443
FR_SA_CM_06321,M,7,44,1,4,6,15900,FR2016,28443
FR_SA_CM_06322,M,3,46,0,5,3,18800,FR2016,28443
FR_SA_RI_01214,M,714,5074,104,626,219,2056181,FR2016,28443
FR_SA_RI_01215,M,459,2183,51,253,62,569814,FR2016,28443
FR_SA_RI_01216,M,2257,10703,270,1322,223,3419851,FR2016,28443
FR_SA_RI_02020,M,592,5305,117,670,401,2303230,FR2016,28443
FR_SA_RI_02021,M,673,8514,158,1084,174,3598124,FR2016,28443
FR_SA_RI_03202,M,346,3660,62,471,319,1603617,FR2016,28443
FR_SA_RI_03203,M,120,1245,30,159,194,411020,FR2016,28443
FR_SA_RI_03204,M,82,809,26,105,161,440790,FR2016,28443
FR_SA_RI_03207,M,13784,55474,1009,6458,2003,24400323,FR2016,28443
FR_SA_RI_03208,M,17,297,9,38,45,125826,FR2016,28443
FR_SA_RI_04201,M,89,731,15,88,94,327185,FR2016,28443
FR_SA_RI_04202,M,283,2211,40,279,102,880093,FR2016,28443
FR_SA_RI_04203,M,11,165,2,21,6,42840,FR2016,28443
FR_SA_RI_04204,M,48,377,8,92,59,214730,FR2016,28443
FR_SA_RI_04206,M,104,877,17,136,36,515625,FR2016,28443
FR_SA_RI_04207,M,0,3,0,0,1,2000,FR2016,28443
FR_SA_RI_04208,M,38,330,5,41,33,270783,FR2016,28443
FR_SA_RI_04209,M,83,683,12,80,58,363203,FR2016,28443
FR_SA_RI_04211,M,80,981,14,112,46,362272,FR2016,28443
FR_SA_RI_04213,M,3124,16235,385,2005,2360,5735412,FR2016,28443
FR_SA_RI_04214,M,458,2921,64,361,351,1082168,FR2016,28443
FR_SA_RI_04217,M,2331,10859,282,1291,2254,4055681,FR2016,28443
FR_SA_RI_04218,M,534,4358,69,587,399,1774610,FR2016,28443
FR_SA_RI_04219,M,355,2078,42,241,366,781596,FR2016,28443
FR_SA_RI_04220,M,88,757,14,98,115,347258,FR2016,28443
FR_SA_RI_04221,M,56,413,8,46,60,154529,FR2016,28443
FR_SA_RI_04222,M,228,1675,23,200,149,620331,FR2016,28443
FR_SA_RI_05002,M,138,817,18,94,93,281899,FR2016,28443
FR_SA_RI_05008,M,234,1352,38,178,197,487429,FR2016,28443
FR_SA_RI_06225,M,70,771,10,88,45,319428,FR2016,28443
FR_SA_RI_06226,M,159,2047,19,255,44,765649,FR2016,28443
