uwwState,rptMStateKey,uwwCode,uwwName,uwwBODIncoming,uwwCODIncoming,uwwNIncoming,uwwPIncoming,uwwBODDischarge,uwwCODDischarge,uwwNDischarge,uwwPDischarge,QAflag,Remark,ReportNetEnvelopeFileId
1,AT,ATTP_1-00000042,Nikitsch,,,,,,,,, , ,28202
1,AT,ATTP_1-00000060,Schandorf - Schachendorf,,,,,,,,, , ,28202
1,AT,ATTP_1-00000153,"Hochneukirchen, Harmannsdorf, Züggen, Kirchschlagl, Maltern, Offenegg",,,,,,,,, , ,28202
1,AT,ATTP_1-00000066,St.Andrä,,,,,,,,, , ,28202
1,AT,ATTP_1-00000018,"Großwarasdorf, Nebersdorf, Langental",,,,,,,,, , ,28202
1,AT,ATTP_1-00000020,Heiligenbrunn,,,,,,,,, , ,28202
1,AT,ATTP_1-00000015,Gattendorf (Gattendorf-Neudorf),,,,,,,,, , ,28202
1,AT,ATTP_1-00000110,Tadten,,,,,,,,, , ,28202
1,AT,ATTP_1-00000111,Kleinzicken (Tauchental),,,,,,,,, , ,28202
1,AT,ATTP_1-00000006,Deutsch Schützen (Deutsch Schützen - Höll),,,,,,,,, , ,28202
1,AT,ATTP_1-00000036,Mischendorf,,,,,,,,, , ,28202
1,AT,ATTP_1-W1,Wimpassing/Leitha,,,,,,,,, , ,28202
1,AT,ATTP_1-00000055,Rechnitz,,,,,,,,, , ,28202
1,AT,ATTP_1-00000103,Burg (Tauchental),,,,,,,,, , ,28202
1,AT,ATTP_1-00000112,Halbturn,,,,,,,,, , ,28202
1,AT,ATTP_1-00000013,Frauenkirchen,,,,,,,,, , ,28202
0,AT,ATTP_1-00000061,Schattendorf,,,,,,,,, , ,28202
1,AT,ATTP_1-00000001,Andau,,,,,,,,, , ,28202
1,AT,ATTP_1-00000027,Jois,,,,,,,,, , ,28202
1,AT,ATTP_1-00000093,Lutzmannsburg (Lutzmannsburg - Frankenau),,,,,,,,, , ,28202
1,AT,ATTP_1-00000097,Neumarkt (Tauchental),,,,,,,,, , ,28202
1,AT,ATTP_1-00000064,Bocksdorf (Oberes Stremtal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000078,Nickelsdorf (Nickelsdorf - Zurndorf),,,,,,,,, , ,28202
1,AT,ATTP_1-00000030,Klostermarienberg (Lockenhaus) Günstal,,,,,,,,, , ,28202
1,AT,ATTP_1-00000051,Podersdorf,,,,,,,,, , ,28202
1,AT,ATTP_1-00000044,Oberpullendorf (Mittleres Burgenland) Stooberbachtal,,,,,,,,, , ,28202
1,AT,ATTP_1-00000081,Wolfau (Stögersbachtal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000050,Riedlingsdorf (Oberes Pinkatal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000077,Pamhagen (Seewinkel),,,,,,,,, , ,28202
1,AT,ATTP_1-00000040,Neufeld (Neufelderseengebiet),,,,,,,,, , ,28202
1,AT,ATTP_1-00000079,Glasing (Mittleres Strem- und Zickenbachtal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000016,Gols (Gols - Mönchhof),,,,,,,,, , ,28202
1,AT,ATTP_1-00000010,Eisenstadt (Eisbachtal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000057,Siget / Wart (Mittleres Pinka- und Zickenbachtal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000005,Deutschkreuz (Mittleres Burgenland) Goldbachtal,,,,,,,,, , ,28202
1,AT,ATTP_1-00000145,Schützen (Neusiedlersee-Westufer),,,,,,,,, , ,28202
1,AT,ATTP_1-00000074,Wulkaprodersdorf (Wulkatal),,,,,,,,, , ,28202
1,AT,ATTP_1-00000133,Heiligenkreuz/Lafnitztal (Bez.Jennersdorf) Lafnitztal-Raabtal,,,,,,,,, , ,28202
1,AT,ATTP_2-K1822657R0,WV Abwasserverband Völkermarkt-Jaunfeld (Tainach),,,,,,,,, , ,28202
1,AT,ATTP_2-K1928170,Gemeinde Ruden,,,,,,,,, , ,28202
1,AT,ATTP_2-K1933309,Gemeinde Großkirchheim,,,,,,,,, , ,28202
1,AT,ATTP_2-K1720229R0,Gemeinde Albeck,,,,,,,,, , ,28202
1,AT,ATTP_2-K1762568R0,Marktgemeinde Winklern,,,,,,,,, , ,28202
1,AT,ATTP_2-K1859107R0,Gemeinde Gallizien,,,,,,,,, , ,28202
1,AT,ATTP_2-K1950740,Marktgemeinde Grafenstein,,,,,,,,, , ,28202
1,AT,ATTP_2-K1950745,Gemeinde Ludmannsdorf,,,,,,,,, , ,28202
1,AT,ATTP_2-K1608259R0,Marktgemeinde Hüttenberg,,,,,,,,, , ,28202
1,AT,ATTP_2-K1943810,Gemeinde Rennweg,,,,,,,,, , ,28202
1,AT,ATTP_2-K1950728,Gemeinde Feitritz i.R.,,,,,,,,, , ,28202
1,AT,ATTP_2-K1756402R0,Gemeinde Krems in Kärnten,,,,,,,,, , ,28202
1,AT,ATTP_2-K1672421R0,Marktgemeinde Eisenkappel-Vellach,,,,,,,,, , ,28202
1,AT,ATTP_2-K1842816R0,Marktgemeinde Lavamünd,,,,,,,,, , ,28202
1,AT,ATTP_2-K1933251,Gemeinde Irschen,,,,,,,,, , ,28202
1,AT,ATTP_2-K1679698R0,Marktgemeinde Griffen,,,,,,,,, , ,28202
1,AT,ATTP_2-K1843518R0,ABUG-Abwasserbeseitigung Unteres Gailtal Errichtungs- und Betriebsgesellschaft,,,,,,,,, , ,28202
1,AT,ATTP_2-K1933909,Gemeinde Poggersdorf,,,,,,,,, , ,28202
1,AT,ATTP_2-K1543752R0,ABKM ABKM-Abwasserbeseitigung Kötschach-Mauthen Errichtung und Betriebsgesellschaft,,,,,,,,, , ,28202
1,AT,ATTP_2-K1669675R0,Gemeinde Ferndorf,,,,,,,,, , ,28202
1,AT,ATTP_2-K2391503,Gemeinde Dellach/Gemeinde Berg,,,,,,,,, , ,28202
