ReportNetEnvelopeFileId,flarepCode,aggCode,aggName,flaggComments,flaggEUFund,flaggEUFundName,flaggExpecDateCompletion,flaggExpecDateStart,flaggExpecDateStartWork,flaggExpLoad,flaggExpLoadColl,flaggExpLoadIAS,flaggInv,flaggLoan,flaggLoanName,flaggMeasures,flaggOtherFund,flaggOtherFundName,flaggReasons,flaggStatus
48040,SK7,SKA5070486,Oravska Lesna,,5.872977,CF,20221231,20161231,20220101,,,,6.182081,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA1060014,Malacky,,0.9,CF,20231231,20200930,20220101,,,,1,,,building of a collecting system,,,reduction of IAS,C
48178,CY 2019 Art.17,CY301-Agglo,Avgorou,-,3.31,CF,20160413,20150120,20150216,,100,0,4.8471,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48040,SK7,SKA4040435,Palarikovo,,0.464795,CF,20271231,20211231,20220101,,,,0.489258,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA2020266,Pata,,4.078125,CF,20271231,20151231,20220101,,,,4.528051,,,building of a collecting system,,,absence of collection system,NC
48040,SK7,SKA8070631,Pavlovce nad Uhom,,0.625516,CF,20271231,20211231,20220101,,,,0.658438,,,building of a collecting system,,,absence of collection system,NC
48178,CY 2019 Art.17,CY302-Agglo,Sotira,-,5.12,CF,20160421,20141210,20150107,,100,0,7.4987,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48178,CY 2019 Art.17,CY303-Agglo,Liopetri,-,3.69,CF,20150716,20130729,20130911,,100,0,5.4087,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48178,CY 2019 Art.17,CY304-Agglo,Phrenaros,-,2.25,CF,20160421,20141210,20150107,,100,0,3.2891,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48040,SK7,SKA4030414,Mojmirovce,,0.14725,CF,20231231,20211231,20220101,,,,0.155,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA3030043,Myjava,,3.73863,CF,20231231,20190615,20220101,,,,3.9354,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4030071,Nitra,,3.42,CF,20271231,20211231,20220101,,,,3.6,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4060450,Preselany,,8.55,CF,20271231,20211231,20220101,,,,9,,,building of a collecting system,,,absence of collection system,NC
48178,CY 2019 Art.17,CY305-Agglo,Achna,-,1.46,CF,20130207,20101102,20101115,,100,0,2.1366,,,Building of a Treatment Plant,,,Absence of Collection and IAS,NC
48040,SK7,SKA6120552,Nova Bana,,4.960176,CF,20271231,20191231,20220101,,,,5.511307,,,building of a collecting system,,,reduction of IAS,C
48040,SK7,SKA4010398,Pribeta,,9.60925,CF,20271231,20211231,20220101,,,,10.115,,,building of a collecting system,,,absence of collection system,NC
