ReportNetEnvelopeFileId,flatpComments,flatpEUFund,flatpEUFundName,flatpExpCapacity,flatpExpecDateCompletion,flatpExpecDatePerformance,flatpExpecDateStart,flatpExpecDateStartWork,flatpExpecTreatment,flatpExpLoad,flatpExpLoadTruck,flatpInv,flatpLoan,flatpLoanName,flatpMeasures,flatpOtherFund,flatpOtherFundName,flatpReasons,flatpStatus,flarepCode,uwwCode,uwwName
48032,,4.7175,Cohesion fund (CF),9200,20221231,20231231,20161231,20201231,3Nm,7065,,5.55,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_82,TINOS
48040,,,,7500,20211231,20221231,20200430,20210501,3N,11600,,1.5,,,expanding of WWTP,1.5,own financial resources,bad operation,NC,SK7,SKCAO80602195212991,COV Cana
49075,,,,4000,20231231,20241231,20201231,20211231,3m,3325,,0.5,,,Intervento da programmare,,,Effluente non conforme,NC,IT007,IT18Q90000002743,Pedace - Perito
48032,,3.825,Cohesion fund (CF),3100,20221231,20231231,20161231,20201231,3Nm,2409,,4.5,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_83,TYCHERO
48032,,4.5815,Cohesion fund (CF),2900,20241231,20251231,20191231,20211231,3Nm,2262,,5.39,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_84,VARDA
48032,,6.766,Cohesion fund (CF),3900,20221231,20231231,20161231,20201231,3Nm,2996,,7.96,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_85,VATHY
48040,,1.755,CF,3600,20231231,20241231,20200630,20210101,3N,3100,,1.95,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30703635139541,COV Diviacka Nova Ves
48040,,0.97202,CF,638,20271231,20281231,20211231,20220101,3N,3590,,1.080022,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO61305545167411,COV Dolna Zdana
48040,,1.179606,CF,2200,20271231,20281231,20211231,20220101,2,2160,,1.241691,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40404275031851,COV Gbelce
48032,,1.6915,Cohesion fund (CF),2700,20221231,20231231,20161231,20201231,3Nm,2069,,1.99,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_86,VERGINA
48032,,6.46,Cohesion fund (CF),7800,20221231,20231231,20161231,20201231,3Nm,5984,,7.6,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_87,YDRA
48032,,1.513,Cohesion fund (CF),2800,20221231,20231231,20161231,20201231,3Nm,2169,,1.78,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_88,ZAGLIVERI
48040,,3.06423,CF,2500,20271231,20281231,20181231,20220101,3N,2080,,3.4047,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO60705395114711,COV Kalinovo
48040,,5.85,CF,13750,20271231,20281231,20211231,20220101,3NP,10210,,6.5,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO40100685012041,COV Kolarovo
48040,,3.325,CF,7500,20221231,20231231,20200731,20210101,2,2950,,3.5,,,building of new WWTP,,,new requirements,NC,SK7,SKCAO20102495017352,COV Lehnice
48040,,3.42,CF,1170,20271231,20281231,20191231,20220101,3N,4690,,3.8,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO30703685141441,COV Liestany
48032,,2.1165,Cohesion fund (CF),4500,20261231,20271231,20221231,20231231,3Nm,2303,,2.49,,,Construction of UWWTP,,,Absence of UWWTP,NC,EL_UWWTD_2020,EL_nocode_89,ZAGORA
48040,,1.354692,CF,2634,20240430,20250430,20110228,20211001,3N,2740,,1.505213,,,building of new WWTP,,,absence WWTP,NC,SK7,SKCAO70105575195701,COV Malcov
