rcaCode,rcaParameter,rcaDateDesignation,rcaStartDate,rcaCRelevantDirective,rcaCIDOtherDirective,rcaCDateOtherDirective,ReportNetEnvelopeFileId
ESCA677,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCA678,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCA627,aP,20010623,20080623,,,,49032
ESCM718,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM719,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM720,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM721,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM722,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM723,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM742,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCM747,aP,20030529,20100529,Directiva 2006/7/CE,,,49032
ESCA748,aP,20030529,20100529,,,,49032
ESCM605,b,20030529,20100529,,,,49032
ESCM606,b,20030529,20100529,,,,49032
ESCM607,b,20040915,20110915,,,,49032
ESCM608,b,20040915,20110915,,,,49032
ESCM609,b,20040915,20110915,,,,49032
ESCM610,b,20040915,20110915,,,,49032
ESCM668,b,20040204,20110204,,,,49032
ESCM1209,aN,20130327,20200327,,,,49032
ESCM1212,aN,20130327,20200327,,,,49032
ESCM1213,aN,20130327,20200327,,,,49032
ESCM1214,aN,20130327,20200327,,,,49032
ESCM1215,aN,20130327,20200327,,,,49032
ESCM1216,aN,20130327,20200327,,,,49032
ESCM1217,aN,20130327,20200327,,,,49032
ESCM1218,aN,20130327,20200327,,,,49032
ESCM1219,aN,20130327,20200327,,,,49032
ESCM1220,aN,20130327,20200327,,,,49032
ESCM1221,aN,20130327,20200327,,,,49032
ESCM1222,aN,20130327,20200327,,,,49032
ESCM1223,aN,20130327,20200327,,,,49032
ESCM1224,aN,20130327,20200327,,,,49032
ESCA1187,aP,20140123,20210123,,,,49032
ESRI1188,aP,20140121,20210121,,,,49032
ESRI1189,aP,20140121,20210121,,,,49032
ESRI1190,aP,20140121,20210121,,,,49032
ESCM1187,aP,20140123,20210123,,,,49032
ESCM1188,aP,20140121,20210121,,,,49032
ESCM1189,aP,20140121,20210121,,,,49032
ESCM1190,aP,20140121,20210121,,,,49032
ESRI1221,aP,20130327,20200327,,,,49032
ESRI1222,aP,20130327,20200327,,,,49032
ESRI1223,aP,20130327,20200327,,,,49032
ESRI1224,aP,20130327,20200327,,,,49032
ESCM1201,aP,20130327,20200327,,,,49032
ESLK1204,aN,20130327,20200327,,,,49032
ESLK1205,aN,20130327,20200327,,,,49032
ESLK1206,aN,20130327,20200327,,,,49032
ESLK1207,aN,20130327,20200327,,,,49032
ESLK1208,aN,20130327,20200327,,,,49032
ESLK1209,aN,20130327,20200327,,,,49032
ESRI1212,aN,20130327,20200327,,,,49032
ESRI1213,aN,20130327,20200327,,,,49032
ESRI1214,aN,20130327,20200327,,,,49032
