repCode,ReportNetEnvelopeFileId,repReportedPeriod,repReportPeriodID,repSituationAt,repVersion,rptMStateKey,repReferenceSystem
AT_UWWTD_2019_1,48142,2018,3207,20181231,20200614,AT,ETRS89
SK7,48049,2018,3221,20181231,20200629,SK,WGS-84
CY 2019 Art.15,48299,2018,3241,20181231,20200630,CY,WGS-84
MT,47581,2018,3248,20181231,20200630,MT,ETRS89
BE-2018,48404,2018,3254,20181231,20200630,BE,ETRS89
259,48406,2018,3255,20181231,20200625,CZ,ETRS89
SE369,47795,2018,3260,20181231,20200622,SE,ETRS89
FR2018,47935,2018,3314,20181231,20200531,FR,WGS-84
BG2020,48955,2018,3315,20181231,20200630,BG,ETRS89
IS2018,48882,2018,3318,20181231,20180101,IS,WGS-84
1,49032,2018,3324,20181231,20200630,ES,ETRS89 + WGS-84
NO_UWWTD_2018,49055,2018,3330,20181231,20201001,NO,ETRS89
SI-2020,49270,2018,3357,20181231,20200401,SI,ETRS89
EL_UWWTD_2020,49201,2018,3358,20181231,20200630,GR,ETRS89
HU-91271CQ-2020c,49193,2018,3359,20181231,20210322,HU,WGS-84
HR_Art15_2018,49272,2018,3360,20181231,20210329,HR,ETRS89
IT007,49342,2018,3361,20181231,20200403,IT,WGS-84
DE_UWWT_2018,49298,2018,3364,20181231,20210331,DE,WGS-84
UK5,49197,2018,3365,20181231,20200715,UK,ETRS89
PT_2018,49295,2018,3366,20181231,20200619,PT,WGS-84
IE2018,49552,2018,3403,20181231,20211203,IE,ETRS89
FI2018,47910,2018,3405,20181231,20200625,FI,WGS-84
PL03,49054,2018,3406,20181231,20200525,PL,WGS-84
LU100,47990,2018,3407,20181231,20200506,LU,ETRS89
LT-2018,49162,2018,3408,20181231,20210316,LT,WGS-84
NL2020,48612,2018,3409,20181231,20200820,NL,ETRS89
RO07,49195,2018,3410,20181231,20200630,RO,ETRS89
EE2020,49346,2018,3411,20181231,20200630,EE,WGS-84
LV007,49362,2018,3412,20181231,20210331,LV,WGS-84
DK2018,48191,2018,3413,20181231,20200630,DK,WGS-84
