rptMStateKey,rptMStateValue,rptCulture,ReportNetEnvelopeFileId
AT,Austria,de-AT,48142
SK,Slovakia,UTF-8,48049
CY,Cyprus,el-CY,48299
MT,Malta,en-MT,47581
BE,Belgium,fr_BE,48404
BE,Belgium,nl_BE,48404
CZ,Czech Republic,cs_CZ,48406
SE,Sweden,en-GB,47795
FR,France,fr-FR,47935
BG,Bulgaria,en-GB,48955
IS,Iceland,UTF-8,48882
ES,Spain,es-ES,49032
NO,Norway,nb-NO,49055
SI,Slovenia,sl-SI,49270
GR,Greece,el-GR,49201
HU,Hungary,hu-HU,49193
HR,Croatia,hr-HR,49272
IT,Italy,ASCII,49342
DE,,de-DE,49298
UK,United Kingdom,en-GB,49197
PT,Portugal,pt-PT,49295
IE,Ireland,en_IE,49552
FI,Finland,fi_FI,47910
PL,Poland,pl-PL,49054
LU,Luxembourg,,47990
LT,Lithuania,,49162
NL,Netherlands,nl-NL,48612
RO,Romania,ro-RO,49195
EE,Estonia,et_EE,49346
LV,Latvia,UTF-8,49362
DK,Denmark,DK201,48191
