identifier,LSOA11CD,intersection_area
6e237d7d4f,E01021768,177231.27289543327
6e237d7d4f,E01021769,160934.44488605333
6e237d7d4f,E01021796,157677.75210456975
a3aea16d4a,E01028691,245795.51575346987
a3aea16d4a,E01028702,263935.50339528243
a3aea16d4a,E01028703,270362.78781603335
a3aea16d4a,E01028698,866524.6223494756
a3aea16d4a,E01028738,518771.044668236
a3aea16d4a,E01028697,272515.7430413844
a3aea16d4a,E01028750,414912.669136751
a3aea16d4a,E01028752,95595.81567087202
a3aea16d4a,E01028754,4897.648702741685
a3aea16d4a,E01028690,306418.1742747633
a3aea16d4a,E01028692,190636.69421361966
a3aea16d4a,E01028704,359000.94686895824
a3aea16d4a,E01033306,298199.4214175749
a3aea16d4a,E01033305,256728.6628616359
a3aea16d4a,E01028696,602507.655249781
a3aea16d4a,E01028658,29173.234117313015
a3aea16d4a,E01028688,219136.071256203
a3aea16d4a,E01028689,260374.24687942065
a3aea16d4a,E01028699,489646.06066938647
a3aea16d4a,E01028700,472435.55409867247
a3aea16d4a,E01028705,283506.3245762224
a3aea16d4a,E01028706,210034.11234975982
a3aea16d4a,E01028695,304857.4511111296
a3aea16d4a,E01028701,300621.51330502384
a3aea16d4a,E01028707,219298.98924726428
a3aea16d4a,E01028693,326463.84326186415
a3aea16d4a,E01028744,1934.7654364531825
a3aea16d4a,E01028694,193622.54828374722
a3aea16d4a,E01028733,2156.781318708567
a3aea16d4a,E01028751,1498742.4938401165
0bda5d4a71,E01016254,215043.85265295726
74b3e1cb37,E01030903,2425.1109023312692
74b3e1cb37,E01030423,448541.932254412
74b3e1cb37,E01023108,477105.7800059355
74b3e1cb37,E01023107,253317.74621212564
74b3e1cb37,E01030904,887.010749647247
74b3e1cb37,E01030890,7441.012127612376
74b3e1cb37,E01023143,288431.0529255087
74b3e1cb37,E01023125,352029.7263389467
74b3e1cb37,E01023142,158739.1621998131
74b3e1cb37,E01023141,147543.22668155216
74b3e1cb37,E01030421,377.0912106922194
74b3e1cb37,E01030422,313870.1759706001
74b3e1cb37,E01023117,359154.2985484618
74b3e1cb37,E01023110,384583.9178210762
74b3e1cb37,E01023115,310948.85986373265
74b3e1cb37,E01023109,201617.74750133767
74b3e1cb37,E01023131,345228.3443490947
74b3e1cb37,E01023116,251332.27123100235
74b3e1cb37,E01023130,300540.47315525316
74b3e1cb37,E01023123,295548.6558051122
74b3e1cb37,E01030425,241269.92256457795
74b3e1cb37,E01023118,292507.6210794009
74b3e1cb37,E01023124,151228.3410890317
74b3e1cb37,E01030424,138772.45597061585
74b3e1cb37,E01023144,138618.16172533072
74b3e1cb37,E01023145,240390.62060435812
74b3e1cb37,E01023129,136346.65435160472
74b3e1cb37,E01023128,195201.2971013791
74b3e1cb37,E01032858,469866.7146830535
74b3e1cb37,E01030433,217.27361968925968
74b3e1cb37,E01030431,294.68912744228777
8c68e4e0b4,E01022627,134515.89812700442
8c68e4e0b4,E01022630,9.71768804300948
8c68e4e0b4,E01022593,1376900.6503478775
8c68e4e0b4,E01022573,1230857.0258456967
8c68e4e0b4,E01022578,791320.2835414391
8c68e4e0b4,E01022577,438962.3185912507
8c68e4e0b4,E01022576,337391.4382019387
8c68e4e0b4,E01022572,168670.56041243905
8c68e4e0b4,E01022574,321213.86875204963
8c68e4e0b4,E01022575,286928.3753160302
8c68e4e0b4,E01022571,189259.35590278206
8c68e4e0b4,E01022580,221243.87566692417
8c68e4e0b4,E01022582,3463.5070167486538
