LSOA11CD,total_area,area_covered
E01000001,133324.97870007606,133324.97870007603
E01000002,226210.01592961617,226210.01592961623
E01000003,57285.32870058852,55467.90370058659
E01000005,190747.43851426293,190747.4385142629
E01000006,144195.3645276355,132366.8643930371
E01000007,198162.89892260032,198162.89892260032
E01000008,193415.70582123386,110559.68191621666
E01000009,128580.60165756951,123640.3470172067
E01000010,348603.30251164845,335052.21642104536
E01000011,90289.0817028648,81749.44531943013
E01000012,141038.3701645403,109496.38793701593
E01000013,208865.297842327,0.0
E01000014,340191.12056160514,0.0
E01000015,279686.68921684276,0.0
E01000016,196146.74985496912,0.0
E01000017,160742.82941821666,0.0
E01000018,173253.48855870464,0.0
E01000019,180913.75466121294,162259.917441672
E01000020,188493.45236490935,174678.91173557765
E01000021,172180.9447851174,165014.8957934162
E01000022,128353.3374742899,128353.33747428989
E01000023,213372.4951611583,195149.1610991095
E01000024,127910.92528036996,127910.92467008023
E01000025,150600.532945251,150600.53254261467
E01000027,1482271.525350025,3967.140008604433
E01000028,147320.20081014372,130642.67405792454
E01000029,252995.86682745614,74804.95566992369
E01000030,283575.61552540056,26314.919923620855
E01000031,843558.2352120059,0.0
E01000032,379273.85223917186,1509.2553027589513
E01000033,142773.37151098796,0.0
E01000034,514979.3004556852,0.0
E01000035,394370.3042568946,0.0
E01000036,429868.42470722075,0.0
E01000037,237523.23621334878,0.0
E01000038,212626.42137294242,0.0
E01000039,1526337.7776312337,0.0
E01000040,169277.50572220137,162563.98107619022
E01000041,152096.15881085178,143325.67817356097
E01000042,231993.84282601354,170233.39451228158
E01000043,265291.18590173876,229263.47592934628
E01000044,174521.11121573436,145808.8315454058
E01000045,299625.09923171747,225860.74177860146
E01000046,157083.65044825888,157083.65044825888
E01000048,64035.82899678655,63997.509338458614
E01000049,213576.20820340767,180348.3299121311
E01000050,138559.06947349553,134677.66532996576
E01000051,65282.99832930765,65255.58836818986
E01000052,200565.3576724655,154490.23843418065
E01000053,178093.15726943416,0.0
E01000054,171028.18339533202,0.0
E01000055,147219.3637344488,84645.93803134107
E01000056,248942.06274628878,0.0
E01000057,146500.00782853627,51859.970896582745
E01000058,182148.86551530653,0.0
E01000059,208286.91845610365,0.0
E01000060,550426.4820384209,0.0
E01000061,605453.4456541421,0.0
E01000062,225905.70955613046,0.0
E01000063,182803.62782457197,0.0
E01000064,209332.33386392088,0.0
E01000065,231179.04086328027,0.0
E01000066,245844.32040519084,216673.43771947856
E01000067,192143.11849902425,192143.1184990242
E01000068,341676.7811914982,201230.44720704807
E01000069,195352.58989693577,179771.06054491148
E01000070,395832.1645583696,270613.7280698837
E01000071,270620.1071313488,246828.47471665664
E01000072,522566.9768442029,172794.46792332438
E01000073,282915.09910795087,169874.0588415423
E01000074,164401.01400558554,160777.48965226102
E01000075,517483.6587556449,148384.10720397133
E01000076,189495.10811037573,175069.96590399081
E01000077,174029.8587584977,139444.13233539337
E01000078,171828.49241932225,0.0
E01000079,308769.0101210398,0.0
E01000080,232962.97562200343,31053.78520360142
E01000081,186414.8361166981,0.0
E01000082,163000.27826795762,0.0
E01000083,179273.59076120178,39767.245617808694
E01000084,152429.29769269424,0.0
E01000085,144636.1749443807,0.0
E01000086,140154.6587448091,0.0
E01000087,375332.5994117773,0.0
E01000088,225008.8949188906,0.0
E01000089,150241.60310536847,0.0
E01000090,1943349.3940697124,0.0
E01000091,247768.6191770811,205580.99326778145
E01000092,2643473.186669804,1097628.9701471527
E01000093,292287.19046893547,222948.64891128207
E01000094,600179.3888716392,196025.55750823938
E01000095,2297381.228817471,328594.13641821814
E01000096,598631.9669682581,327689.3819372388
E01000097,181423.75292270537,0.0
E01000098,173016.8329037626,3575.392022123043
E01000099,310681.8061906821,0.0
E01000100,210477.52852315948,0.0
E01000101,160965.30977914578,0.0
E01000102,254854.73646680103,12282.226681771192
E01000103,698240.2863251868,0.0
E01000104,216166.29786774388,0.0
E01000105,223898.18457663638,0.0
E01000106,220861.20026657166,0.0
E01000107,539324.4810168971,0.0
E01000108,238528.11056206212,0.0
E01000109,375582.7006569652,0.0
E01000110,188423.39521422243,0.0
E01000111,301360.32517484383,0.0
E01000112,276282.4827955826,0.0
E01000113,154669.51794519412,180.35879042585128
E01000114,256223.958993177,0.0
E01000115,280249.14967018215,278759.79184390913
E01000116,245322.34663242777,235886.03898118253
E01000117,329399.92840120336,301442.2613067572
E01000118,285009.4981920521,272951.86734574696
E01000119,400464.0111606876,291225.4723519239
E01000120,242971.2549157116,232764.5031252102
E01000121,376719.37225898454,178785.2557863885
E01000122,235774.22007497825,207457.53036863008
E01000123,524608.2533669414,283587.69516876695
E01000124,260233.5233067632,179972.88869814324
E01000125,303183.52754716703,271063.7606994504
E01000126,157787.937240556,155254.22602822498
E01000127,196661.1592383478,125232.73143181711
E01000128,242817.75906428788,239842.58256320644
E01000129,173225.2236366972,167753.4756623417
E01000130,176322.36976840757,175667.14892369704
E01000131,334267.2493381679,190780.68938333998
E01000132,152687.9142177663,129363.30545001171
