uwwState,rptMStateKey,uwwCode,uwwName,uwwLatitude,uwwLongitude,uwwLoadEnteringUWWTP,uwwCapacity,version,year
active,UK,UKWAWA_WW_TP000045,AMMANFORD   STW,51.77075588,-3.998416726,31205,31205,7,2016
active,UK,UKWAWA_WW_TP000089,B/AU FES STW STW,52.98075045,-3.943219933,4061,5195,7,2016
active,UK,UKWAWA_WW_TP000097,BALA WWTW STW,52.90876589,-3.585337346,2699,31205,7,2016
active,UK,UKWAWA_WW_TP000080,BETHESDA STW,53.18536725,-4.076240002,5088,5152,7,2016
active,UK,UKWAWA_WW_TP000128,BLUESTONE LEISURE CANASTON,51.78852315,-4.808323449,2098,2098,7,2016
active,UK,UKWAWA_WW_TP000132,BORTH STW,52.48798462,-4.041888348,2557,2678,7,2016
active,UK,UKWAWA_WW_TP000003,BRECON STW BRECON WWTW BRECON POWYS STW,51.93965973,-3.374530319,10481,10481,7,2016
active,UK,UKWAWA_WW_TP000041,BRIDGEND   STW,51.47774046,-3.61990057,156427,176619,7,2016
active,UK,UKWAWA_WW_TP000007,BRYNMAWR STW BLACKROCK BRYNMAWR STW,51.80543179,-3.153170555,5662,13555,7,2016
active,UK,UKWAWA_WW_TP000118,BUCKLEY STW,53.15270559,-3.073915691,15466,15466,7,2016
active,UK,UKWAWA_WW_TP000031,BUILTH WELLS STW STW,52.1528477,-3.395501401,4229,4229,7,2016
active,UK,UKWAWA_WW_TP000085,CAERNARFON STW STW,53.13238848,-4.272432833,13541,13541,7,2016
active,UK,UKWAWA_WW_TP000025,CARDIFF (WEST) AND BARRY (COG MOORS),51.41943607,-3.211954889,215160,227740,7,2016
active,UK,UKWAWA_WW_TP000026,CARDIFF STW,51.47718054,-3.133048828,977283,977283,7,2016
active,UK,UKWAWA_WW_TP000063,CARDIGAN STW,52.08373402,-4.670930971,6239,6899,7,2016
active,UK,UKWAWA_WW_TP000059,CARMARTHEN   STW,51.8366599,-4.327373448,23455,23455,7,2016
active,UK,UKWAWA_WW_TP000121,CEFN MAWR STW HEOL BERWYN CEFN MAWR STW,52.96762305,-3.077614894,7029,7029,7,2016
active,UK,UKWAWA_WW_TP000095,COLWYN BAY / LLANDUDNO   STW,53.27837429,-3.792577392,81731,88731,7,2016
active,UK,UKWAWA_WW_TP000107,CONNAHS QUAY STW,53.21655208,-3.044107456,18776,18776,7,2016
active,UK,UKWAWA_WW_TP000067,ADPAR WWTW ADPAR CEREDIGION STW,52.04221213,-4.473385914,2027,2401,7,2016
active,UK,UKWAWA_WW_TP000073,ABERYSTWYTH STW,52.40106044,-4.051439317,22564,25235,7,2016
active,UK,UKWAWA_WW_TP000008,ABERGAVENNY STW,51.85116013,-3.125519801,3194,3319,7,2016
active,UK,UKWAWA_WW_TP000001,ABERBAIDEN STW BEHIND HOP YARD FARM STW,51.8258406,-3.071620425,6053,6053,7,2016
active,UK,UKNI_TP00097,Donaghmore,54.5306,-6.8065,2024,1500,7,2016
